노출키워드,연관키워드,검색(PC),검색(폰),평균클릭(PC),평균클릭(폰),평클릭률(PC),평균클릭률(폰),노출광고수,경쟁도,총검색,총클릭
무드등,캠핑용품,40000,195500,574.2,5089.8,1.59,2.75,15,높음,235500.0,5664.0
무드등,블루투스스피커,38300,173200,70.9,1637.8,0.2,1.01,15,높음,211500.0,1708.7
무드등,차박용품,6780,39600,86.7,1285.2,1.44,3.6,15,높음,46380.0,1371.9
무드등,거실등,4360,24000,75.7,854.3,1.9,3.87,15,높음,28360.0,930.0
무드등,조명쇼핑몰,1580,7640,94.8,654.8,6.49,9.33,15,높음,9220.0,749.5999999999997
무드등,레터링풍선,3660,30600,19.9,704.3,0.59,2.6,15,높음,34260.0,724.1999999999997
무드등,LED등,8260,33000,64.8,581.0,0.89,1.97,15,높음,41260.0,645.8
무드등,무드등,18400,77600,43.8,575.3,0.27,0.84,15,높음,96000.0,619.0999999999998
무드등,현관센서등,4170,25100,41.7,568.3,1.11,2.46,15,높음,29270.0,610.0
무드등,스탠드조명,6850,32100,55.1,524.3,0.93,1.83,15,높음,38950.0,579.4
무드등,아크릴키링제작,1590,6130,62.3,472.2,4.46,8.32,15,높음,7720.0,534.5
무드등,감성캠핑,3310,15800,45.3,454.0,1.58,3.21,15,높음,19110.0,499.3
무드등,거실조명,2550,13100,46.0,448.0,2.04,3.76,15,높음,15650.0,494.0
무드등,네온사인주문제작,1210,6160,36.6,361.6,3.59,7.1,15,높음,7370.0,398.20000000000016
무드등,가습기,11200,43100,16.9,350.5,0.2,0.95,15,높음,54300.0,367.4
무드등,장스탠드,3400,18500,26.7,337.6,0.92,2.03,15,높음,21900.0,364.3
무드등,네온사인,4390,15200,42.5,321.2,1.14,2.61,15,높음,19590.0,363.7
무드등,셀프인테리어,4580,78600,26.7,335.5,0.65,0.8,15,높음,83180.0,362.2
무드등,인테리어조명,2460,9420,47.1,299.7,2.12,3.48,15,높음,11880.0,346.8
무드등,LED전구,6730,29100,45.6,300.8,0.77,1.17,15,높음,35830.0,346.40000000000015
무드등,주방조명,1620,11500,28.6,314.5,1.91,3.02,15,높음,13120.0,343.1
무드등,LED주방등,1600,11500,17.7,265.8,1.23,2.57,15,높음,13100.0,283.5
무드등,캠핑조명,3710,16400,18.1,213.8,0.57,1.45,15,높음,20110.0,231.9
무드등,수유등,2190,15600,4.7,205.7,0.24,1.48,15,높음,17790.0,210.4
무드등,LED전등,4100,12900,27.6,179.0,0.76,1.52,15,높음,17000.0,206.6
무드등,LED바,4400,9780,47.5,148.3,1.23,1.72,15,높음,14180.0,195.8
무드등,커플아이템,2340,14300,8.9,184.7,0.43,1.47,15,높음,16640.0,193.6
무드등,꽃화병,880,6340,3.9,183.0,0.52,3.14,15,높음,7220.0,186.9
무드등,캠핑전구,1730,11000,7.7,178.1,0.5,1.8,15,높음,12730.0,185.8
무드등,블루투스,7440,22000,10.2,174.0,0.16,0.88,15,높음,29440.0,184.2
무드등,형광등,5170,14800,20.8,151.5,0.46,1.16,15,높음,19970.0,172.3
무드등,무선센서등,1510,7860,8.8,155.1,0.67,2.16,15,높음,9370.0,163.9
무드등,간접조명,3950,11000,7.3,143.1,0.19,1.54,15,높음,14950.0,150.4
무드등,LED스트립,1080,6680,4.7,143.7,0.48,2.33,15,높음,7760.0,148.39999999999995
무드등,감성랜턴,1690,7780,5.6,137.6,0.33,2.13,15,높음,9470.0,143.2
무드등,LED간접조명,1260,7180,8.1,134.4,0.68,2.05,15,높음,8440.0,142.5
무드등,에디슨전구,1520,6980,7.6,134.8,0.59,2.19,15,높음,8500.0,142.4
무드등,커플템,1340,9440,5.9,134.8,0.48,1.54,15,높음,10780.0,140.70000000000002
무드등,전구,5120,18800,17.8,120.8,0.39,0.73,15,높음,23920.0,138.6
무드등,라탄조명,1120,6390,8.2,127.5,0.77,2.18,15,높음,7510.0,135.7
무드등,수면등,1070,10300,3.9,130.2,0.45,1.48,15,높음,11370.0,134.1
무드등,감성캠핑랜턴,2340,6720,2.8,128.7,0.14,2.14,15,높음,9060.0,131.5
무드등,스탠드등,1310,7520,7.3,116.4,0.64,1.73,15,높음,8830.0,123.7
무드등,단스탠드,1520,6560,13.9,93.3,1.05,1.61,15,높음,8080.0,107.2
수유등,블루투스스피커,38300,173200,70.9,1637.8,0.2,1.01,15,높음,211500.0,1708.7
수유등,거실등,4360,24000,75.7,854.3,1.9,3.87,15,높음,28360.0,930.0
수유등,스마트스위치,16900,42500,21.7,634.8,0.17,1.76,15,높음,59400.0,656.5
수유등,LED등,8260,33000,64.8,581.0,0.89,1.97,15,높음,41260.0,645.8
수유등,무드등,18400,77600,43.8,575.3,0.27,0.84,15,높음,96000.0,619.0999999999998
수유등,현관센서등,4170,25100,41.7,568.3,1.11,2.46,15,높음,29270.0,610.0
수유등,스탠드조명,6850,32100,55.1,524.3,0.93,1.83,15,높음,38950.0,579.4
수유등,거실조명,2550,13100,46.0,448.0,2.04,3.76,15,높음,15650.0,494.0
수유등,LED거실등,3420,17000,37.9,402.8,1.32,2.52,15,높음,20420.0,440.7
수유등,주방등,2090,13900,22.7,347.1,1.22,2.75,15,높음,15990.0,369.8
수유등,장스탠드,3400,18500,26.7,337.6,0.92,2.03,15,높음,21900.0,364.3
수유등,셀프인테리어,4580,78600,26.7,335.5,0.65,0.8,15,높음,83180.0,362.2
수유등,인테리어조명,2460,9420,47.1,299.7,2.12,3.48,15,높음,11880.0,346.8
수유등,LED전구,6730,29100,45.6,300.8,0.77,1.17,15,높음,35830.0,346.40000000000015
수유등,주방조명,1620,11500,28.6,314.5,1.91,3.02,15,높음,13120.0,343.1
수유등,펜던트조명,3410,9160,56.9,278.3,1.83,3.33,15,높음,12570.0,335.2
수유등,LED주방등,1600,11500,17.7,265.8,1.23,2.57,15,높음,13100.0,283.5
수유등,수유등,2190,15600,4.7,205.7,0.24,1.48,15,높음,17790.0,210.4
수유등,LED전등,4100,12900,27.6,179.0,0.76,1.52,15,높음,17000.0,206.6
수유등,LED바,4400,9780,47.5,148.3,1.23,1.72,15,높음,14180.0,195.8
수유등,블루투스,7440,22000,10.2,174.0,0.16,0.88,15,높음,29440.0,184.2
수유등,무선센서등,1510,7860,8.8,155.1,0.67,2.16,15,높음,9370.0,163.9
수유등,간접조명,3950,11000,7.3,143.1,0.19,1.54,15,높음,14950.0,150.4
수유등,전구,5120,18800,17.8,120.8,0.39,0.73,15,높음,23920.0,138.6
수유등,수면등,1070,10300,3.9,130.2,0.45,1.48,15,높음,11370.0,134.1
고블렛잔,와인쇼핑몰,2960,17100,141.5,1776.6,5.68,11.66,15,높음,20060.0,1918.1
고블렛잔,돔페리뇽,5000,33500,103.8,1299.4,2.27,4.08,9,중간,38500.0,1403.2
고블렛잔,와인잔,5150,40700,36.1,758.0,0.79,2.04,15,높음,45850.0,794.1
고블렛잔,예쁜그릇,1630,15400,60.1,729.2,4.26,5.35,15,높음,17030.0,789.3000000000003
고블렛잔,홈카페유리컵,1700,14700,28.4,648.0,1.79,4.53,15,높음,16400.0,676.4
고블렛잔,풍기인견패드,830,9890,28.7,493.8,2.28,3.51,15,높음,10720.0,522.5
고블렛잔,수저통,3880,31000,14.1,482.3,0.41,1.7,15,높음,34880.0,496.4
고블렛잔,코스타노바,1640,16200,17.5,444.2,1.31,3.03,15,높음,17840.0,461.7
고블렛잔,예쁜접시,1020,12600,16.7,442.0,1.91,4.05,15,높음,13620.0,458.7
고블렛잔,유리컵,4020,20600,25.9,405.8,0.73,2.13,15,높음,24620.0,431.7
고블렛잔,맥주잔,3500,25500,20.5,404.1,0.64,1.65,15,높음,29000.0,424.6
고블렛잔,탁상시계,4310,30100,15.7,355.5,0.41,1.3,15,높음,34410.0,371.2
고블렛잔,머그컵,6240,36000,28.9,335.5,0.53,1.08,15,높음,42240.0,364.4
고블렛잔,고블렛잔,2270,22000,8.1,332.1,0.4,1.64,15,높음,24270.0,340.2000000000001
고블렛잔,까사무띠,1350,10500,8.9,300.4,0.73,3.08,15,높음,11850.0,309.2999999999999
고블렛잔,보온병,2970,19700,7.5,274.8,0.28,1.48,15,높음,22670.0,282.3
고블렛잔,내열유리컵,1570,11500,10.9,267.9,0.76,2.46,15,높음,13070.0,278.79999999999995
고블렛잔,와인샵,1330,9130,20.4,228.5,1.71,2.77,15,높음,10460.0,248.9
고블렛잔,위스키잔,2420,11800,15.0,229.8,0.73,2.27,15,높음,14220.0,244.8
고블렛잔,커피잔,2430,14900,11.1,189.0,0.53,1.46,15,높음,17330.0,200.1
고블렛잔,파스타접시,1100,8840,14.3,160.9,1.52,2.04,15,높음,9940.0,175.20000000000005
고블렛잔,포트와인,2260,12600,12.7,150.7,0.64,1.32,7,중간,14860.0,163.39999999999995
고블렛잔,스파클링와인,1600,12500,6.5,156.7,0.46,1.35,15,높음,14100.0,163.2
이쁜보조간판,이쁜보조간판,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음,0.0,0.0
썬팅전용헤라,썬팅전용헤라,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음,0.0,0.0
유리막코팅,세차용품,7260,31300,197.9,1525.6,2.83,4.83,15,높음,38560.0,1723.5
유리막코팅,부업,7820,35300,76.7,602.1,1.12,1.88,15,높음,43120.0,678.8000000000002
유리막코팅,자동차유리막코팅가격,1900,12200,18.1,352.8,1.02,3.05,15,높음,14100.0,370.9
유리막코팅,셀프세차장,4430,67500,34.1,322.0,0.79,0.46,15,높음,71930.0,356.1
유리막코팅,신차패키지,2450,6220,51.2,288.1,2.26,4.99,15,높음,8670.0,339.3
유리막코팅,셀프세차장창업비용,1010,5060,28.9,306.3,2.97,6.25,15,높음,6070.0,335.2
유리막코팅,후방카메라,4180,15100,20.2,265.8,0.54,1.94,15,높음,19280.0,286.0
유리막코팅,자동차유막제거제,2500,22100,7.9,272.1,0.43,1.65,15,높음,24600.0,280.0
유리막코팅,자동차광택비용,1220,8460,12.2,241.7,1.03,2.89,15,높음,9680.0,253.9
유리막코팅,베란다탄성코트,1760,12400,9.3,183.0,0.61,1.55,15,높음,14160.0,192.3
유리막코팅,유리막코팅제,1550,8120,8.5,163.8,0.59,2.21,15,높음,9670.0,172.3
유리막코팅,자동차스크래치제거,910,5650,6.7,163.6,0.78,2.88,15,높음,6560.0,170.29999999999995
유리막코팅,휠복원,1430,6950,8.1,136.8,0.64,2.18,15,높음,8380.0,144.9
유리막코팅,자동차도색비용,750,6480,5.9,138.3,0.82,2.21,15,높음,7230.0,144.20000000000005
유리막코팅,셀프나노코팅,1230,4330,5.6,128.6,0.53,3.23,15,높음,5560.0,134.2
유리막코팅,자동차기스제거,740,6850,5.7,114.7,0.81,1.79,15,높음,7590.0,120.4
유리막코팅,자동차유리막코팅,1650,15400,4.1,110.0,0.28,0.8,15,높음,17050.0,114.1
유리막코팅,자동차광택제,830,6540,8.5,103.0,1.04,1.68,15,높음,7370.0,111.5
유리막코팅,문콕방지,2020,8830,6.0,97.0,0.32,1.14,15,높음,10850.0,103.0
유리막코팅,자동차왁스,1080,5190,4.6,84.5,0.44,1.69,15,높음,6270.0,89.1
유리막코팅,그래핀,8060,19200,6.3,70.3,0.13,0.58,15,높음,27260.0,76.6
유리막코팅,자동차도색,1130,6470,6.8,69.5,0.66,1.14,15,높음,7600.0,76.3
기스,기스,900,2960,0.0,0.3,0.0,0.02,3,높음,3860.0,0.3
시트지전용,시트지전용,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음,0.0,0.0
랩핑,자동차랩핑,2250,9480,26.5,233.6,1.3,2.62,15,높음,11730.0,260.1
랩핑,PPF시공가격,1030,7160,10.7,229.2,1.13,3.69,15,높음,8190.0,239.9
랩핑,자동차랩핑비용,930,6760,6.9,200.0,0.77,3.11,15,높음,7690.0,206.9
랩핑,자동차랩핑지,850,4540,11.1,186.7,1.34,4.49,15,높음,5390.0,197.8
랩핑,랩핑지,1760,8270,1.7,169.7,0.12,2.27,15,높음,10030.0,171.39999999999995
랩핑,문콕방지도어가드,1380,7030,8.5,149.0,0.68,2.22,15,높음,8410.0,157.5
랩핑,자동차스티커,1550,8550,18.8,120.3,1.3,1.47,15,높음,10100.0,139.1
랩핑,자동차튜닝,1370,5720,11.1,119.8,0.87,2.26,15,높음,7090.0,130.9
랩핑,차량스티커,1480,7910,20.0,91.8,1.47,1.27,15,높음,9390.0,111.8
랩핑,카본시트지,880,3400,4.3,81.4,0.56,2.64,15,높음,4280.0,85.7
랩핑,자동차도색,1130,6470,6.8,69.5,0.66,1.14,15,높음,7600.0,76.3
랩핑,광고대행사,2650,1900,54.9,21.0,2.24,1.21,15,높음,4550.0,75.9
랩핑,랩핑,3340,9020,7.8,62.8,0.26,0.76,15,높음,12360.0,70.6
랩핑,광고,10100,14600,16.2,50.7,0.19,0.42,15,높음,24700.0,66.9
랩핑,자동차래핑,340,1980,2.9,61.1,0.9,3.31,15,높음,2320.0,64.0
랩핑,데칼스티커,540,2070,6.3,56.9,1.34,2.91,15,높음,2610.0,63.2
랩핑,차량랩핑,970,2180,19.9,42.0,2.21,2.11,15,높음,3150.0,61.9
랩핑,오토바이랩핑,310,1770,5.3,44.0,1.91,2.67,12,중간,2080.0,49.3
랩핑,차도색,250,2390,0.8,36.3,0.35,1.59,15,높음,2640.0,37.1
랩핑,테슬라카페,1710,3660,31.1,2.0,1.85,0.06,4,낮음,5370.0,33.1
이중날고무,이중날고무,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음,0.0,0.0
카페,강화도맛집,10700,169500,77.7,4469.8,0.75,2.71,15,높음,180200.0,4547.5
카페,가평가볼만한곳,10700,187400,71.8,3242.7,0.67,1.74,15,높음,198100.0,3314.5
카페,강화가볼만한곳,3540,81300,44.9,2353.2,1.28,2.93,15,높음,84840.0,2398.1
카페,강화도갈만한곳,8180,117300,45.0,1751.7,0.56,1.51,15,높음,125480.0,1796.7
카페,경기도가볼만한곳,11100,171000,52.4,1681.5,0.49,1.02,15,높음,182100.0,1733.9
카페,남양주맛집,8010,134100,27.3,1648.1,0.36,1.29,15,높음,142110.0,1675.4
카페,거제도갈만한곳,8040,112400,43.9,1573.8,0.51,1.33,15,높음,120440.0,1617.7
카페,남양주가볼만한곳,4170,86000,13.5,1486.8,0.35,1.79,15,높음,90170.0,1500.3
카페,양평가볼만한곳,8390,148400,43.3,1431.8,0.53,0.98,15,높음,156790.0,1475.1
카페,비빔국수양념장,4150,145900,11.5,860.9,0.28,0.57,15,높음,150050.0,872.4
카페,경기가볼만한곳,960,81600,5.6,859.0,0.61,1.06,15,높음,82560.0,864.6
카페,남양주카페,6440,108600,19.2,769.9,0.32,0.72,15,높음,115040.0,789.1
카페,서울가볼만한곳,8380,127700,21.8,759.2,0.29,0.64,15,높음,136080.0,781.0
카페,강화도카페,4550,63300,24.3,649.3,0.57,1.04,9,중간,67850.0,673.5999999999998
카페,창업,18900,29800,81.9,453.8,0.5,1.71,15,높음,48700.0,535.7
카페,하남맛집,4700,68500,10.3,488.3,0.24,0.75,15,높음,73200.0,498.6
카페,석모도가볼만한곳,1890,24200,17.7,434.2,1.0,1.8,14,높음,26090.0,451.9
카페,실내데이트,4530,44100,8.2,335.5,0.18,0.73,15,높음,48630.0,343.7
카페,콜드브루,7630,60900,9.9,318.5,0.14,0.55,15,높음,68530.0,328.4
카페,춘천맛집,9710,121700,15.9,238.7,0.18,0.21,15,높음,131410.0,254.6
카페,브런치카페,2890,87900,6.5,247.3,0.25,0.31,15,높음,90790.0,253.8
카페,카페,48900,886100,18.9,213.7,0.05,0.03,15,높음,935000.0,232.6
카페,서울놀거리,3620,34200,8.0,216.0,0.25,0.69,15,높음,37820.0,224.0
카페,익선동맛집,5270,66500,11.7,107.0,0.25,0.18,11,중간,71770.0,118.7
커피,거제도갈만한곳,8040,112400,43.9,1573.8,0.51,1.33,15,높음,120440.0,1617.7
커피,과자,17800,61000,88.2,1326.6,0.56,2.36,15,높음,78800.0,1414.8
커피,캡슐커피머신,6640,40400,49.5,841.1,0.85,2.31,15,높음,47040.0,890.6
커피,생수,40500,234500,51.9,831.3,0.22,0.6,15,높음,275000.0,883.1999999999997
커피,바리스타자격증,9620,55000,30.8,767.5,0.36,1.54,15,높음,64620.0,798.3
커피,바리스타국비지원,2720,18200,30.5,759.0,1.23,4.55,15,높음,20920.0,789.5
커피,탄산수,13700,94300,23.4,732.7,0.18,0.78,15,높음,108000.0,756.1
커피,삼다수2L,5530,58800,22.5,660.5,0.49,1.38,15,높음,64330.0,683.0
커피,맥심모카골드,7640,45000,13.1,643.5,0.2,1.6,15,높음,52640.0,656.6
커피,사무실인테리어,6600,9730,149.7,462.8,2.49,5.15,15,높음,16330.0,612.5
커피,화이트보드,8780,21500,120.9,491.5,1.51,2.47,15,높음,30280.0,612.4
커피,검은콩두유,4140,34600,19.3,574.3,0.52,1.82,15,높음,38740.0,593.5999999999998
커피,생수2L,5960,45400,31.4,528.0,0.55,1.18,15,높음,51360.0,559.4
커피,삼다수500ML,3870,31100,15.8,488.3,0.48,1.89,15,높음,34970.0,504.1
커피,커피원두,6460,24800,77.1,421.5,1.34,1.85,15,높음,31260.0,498.6
커피,음료수,5610,20700,34.7,416.3,0.65,2.03,15,높음,26310.0,451.0
커피,맥심커피믹스,4310,20100,17.8,406.8,0.48,2.25,15,높음,24410.0,424.6
커피,사무용품,8150,8850,214.6,195.8,2.92,2.5,15,높음,17000.0,410.4
커피,부산해운대맛집,2810,30600,5.5,367.6,0.2,1.18,15,높음,33410.0,373.1
커피,원두커피,5260,27300,65.5,295.3,1.4,1.23,15,높음,32560.0,360.8
커피,카페창업,5040,16000,45.5,304.4,1.01,2.08,15,높음,21040.0,349.9
커피,생수500,3450,32000,16.0,320.3,0.48,1.01,15,높음,35450.0,336.3
커피,그라인더,8330,30000,19.7,286.3,0.27,1.03,15,높음,38330.0,306.0
커피,카누아메리카노,3950,25700,13.9,282.9,0.38,1.15,15,높음,29650.0,296.7999999999999
커피,A4용지,23000,30700,64.3,216.0,0.32,0.8,15,높음,53700.0,280.3
커피,두루마리휴지,6680,41100,12.1,261.3,0.21,0.69,15,높음,47780.0,273.40000000000003
커피,브런치카페,2890,87900,6.5,247.3,0.25,0.31,15,높음,90790.0,253.8
커피,커피종류,2250,14900,10.9,236.0,0.53,1.72,15,높음,17150.0,246.9
커피,카누,15200,56800,11.1,215.8,0.09,0.4,15,높음,72000.0,226.9
커피,제트스트림,4800,17200,9.6,195.3,0.23,1.25,15,높음,22000.0,204.9
커피,컵라면,8170,32600,18.2,184.3,0.26,0.63,15,높음,40770.0,202.5
커피,맥심화이트골드,4130,19300,7.4,179.0,0.21,1.04,15,높음,23430.0,186.4
커피,디저트카페,1600,20100,11.1,145.0,0.74,0.77,15,높음,21700.0,156.1
커피,홍차,4870,24800,11.6,125.0,0.26,0.54,15,높음,29670.0,136.6
커피,콜라,4320,19300,7.5,122.7,0.19,0.67,15,높음,23620.0,130.2
커피,에스프레소,3900,18400,2.3,121.8,0.07,0.72,15,높음,22300.0,124.1
영업중,시트지제작,1640,3220,44.7,114.5,2.9,3.98,15,높음,4860.0,159.2
영업중,아크릴인쇄,880,810,33.3,41.5,4.31,5.71,15,높음,1690.0,74.8
영업중,시트지인쇄,830,920,24.5,35.1,3.27,4.42,15,높음,1750.0,59.6
영업중,피난안내도,1540,780,13.7,37.0,0.97,5.24,15,높음,2320.0,50.7
영업중,표지판,2920,4880,14.4,27.3,0.56,0.65,15,높음,7800.0,41.7
영업중,영업중간판,270,1450,4.2,33.0,1.64,2.4,15,높음,1720.0,37.2
영업중,관계자외출입금지,3180,2840,8.3,27.0,0.3,1.05,15,높음,6020.0,35.3
영업중,영업시간스티커,430,1510,3.1,31.6,0.76,2.29,15,높음,1940.0,34.7
영업중,OHP필름인쇄,620,1230,6.2,25.7,1.15,2.33,13,중간,1850.0,31.9
영업중,화장실문구,1050,940,2.8,21.7,0.28,2.54,15,높음,1990.0,24.5
영업중,CLOSED,1660,5360,1.3,20.0,0.09,0.41,12,중간,7020.0,21.3
창문간판,네온사인주문제작,1210,6160,36.6,361.6,3.59,7.1,15,높음,7370.0,398.20000000000016
창문간판,LED간판,1850,6750,28.7,224.8,1.79,3.68,15,높음,8600.0,253.5
창문간판,LED모듈,8350,17500,39.7,199.5,0.5,1.3,15,높음,25850.0,239.2
창문간판,초보운전스티커,4850,28700,10.7,185.8,0.24,0.7,15,높음,33550.0,196.5
창문간판,LED바,4400,9780,47.5,148.3,1.23,1.72,15,높음,14180.0,195.8
창문간판,간판제작,1530,2460,43.5,114.0,3.09,5.08,15,높음,3990.0,157.5
창문간판,현판,4500,6140,67.2,82.5,1.68,1.49,15,높음,10640.0,149.7
창문간판,어항조명,980,6540,4.1,111.7,0.47,1.94,15,높음,7520.0,115.8
창문간판,가격표,1790,3070,15.8,84.0,1.02,3.11,15,높음,4860.0,99.8
창문간판,네온간판,580,2350,11.8,84.2,2.31,3.95,15,높음,2930.0,96.0
창문간판,간판종류,830,2000,14.7,65.6,1.96,3.68,15,높음,2830.0,80.3
창문간판,실내간판,760,1540,23.1,57.0,3.53,4.09,15,높음,2300.0,80.1
창문간판,화장실표지판,1120,2110,13.2,64.0,1.29,3.19,15,높음,3230.0,77.2
창문간판,돌출간판,1520,3680,15.9,58.0,1.17,1.74,15,높음,5200.0,73.9
창문간판,간판가격,430,1890,6.9,64.5,1.86,3.77,15,높음,2320.0,71.4
창문간판,대구간판,500,1240,11.3,59.3,2.61,5.2,15,높음,1740.0,70.6
창문간판,거치대,4280,9910,4.9,64.7,0.13,0.71,15,높음,14190.0,69.60000000000001
창문간판,라이트패널,1010,2550,30.2,34.3,3.28,1.74,15,높음,3560.0,64.5
창문간판,숫자스티커,1310,3850,7.4,56.8,0.67,1.6,15,높음,5160.0,64.2
창문간판,스마트글라스,770,1270,13.5,43.8,1.97,3.69,15,높음,2040.0,57.3
창문간판,신주,2920,7910,5.0,52.3,0.19,0.73,15,높음,10830.0,57.3
