주간,광고비,전환건수,전환액
19/09월1주차,"69,157",2,"147,000"
19/09월2주차,"54,461",0,0
19/09월3주차,"10,505",0,0
19/09월4주차,"53,977",5,"353,000"
19/10월1주차,"42,790",0,0
19/10월2주차,0,0,0
19/10월3주차,"29,128",1,"89,000"
19/10월4주차,"68,673",0,0
19/10월5주차,"65,208",2,"151,000"
19/11월1주차,"67,100",3,"239,000"
19/11월2주차,"52,767",2,"121,000"
19/11월3주차,0,0,0
19/11월4주차,0,0,0
19/12월1주차,0,0,0
19/12월2주차,0,0,0
19/12월3주차,"5,181",1,"140,000"
19/12월4주차,"3,762",1,"65,000"
20/01월1주차,"13,662",2,0
20/01월2주차,"13,662",2,"180,000"
20/01월3주차,"6,710",1,"65,000"
20/01월4주차,0,0,0
20/01월5주차,0,0,0
20/02월1주차,0,0,0
20/02월2주차,0,0,0
20/02월3주차,0,0,0
20/02월4주차,0,0,0
20/03월1주차,0,0,0
20/03월2주차,0,0,0
20/03월3주차,0,0,0
20/03월4주차,0,0,0
20/04월1주차,0,0,0
20/04월2주차,0,0,0
20/04월3주차,"3,168",0,0
20/04월4주차,"3,399",0,0
20/04월5주차,"4,466",1,"129,000"
20/05월1주차,"7,249",0,0
20/05월2주차,"7,271",0,0
20/05월3주차,"10,527",0,0
20/05월4주차,"12,771",0,0
20/06월1주차,"14,982",0,0
20/06월2주차,"8,679",1,"132,000"
20/06월3주차,"6,622",0,0
20/06월4주차,"10,736",0,0
20/07월1주차,"14,267",0,0
20/07월2주차,"14,267",0,0
20/07월3주차,"14,267",0,0
20/07월4주차,"10,681",0,0
20/07월5주차,"32,197",0,0
20/08월1주차,"11,462",1,"89,000"
20/08월2주차,"12,529",0,0
20/08월3주차,"61,061",0,0
20/08월4주차,"46,717",0,0
20/09월1주차,"1,859",0,0
20/09월2주차,"10,010",0,0
20/09월3주차,"13,211",0,0
20/09월4주차,"20,515",2,"178,000"
20/09월5주차,"1,727",0,0
20/10월2주차,"10,626",0,0
20/10월3주차,"13,684",1,"83,000"
20/10월4주차,"13,024",2,"335,000"
20/10월5주차,"32,230",3,"299,000"
20/11월1주차,"32,395",4,"353,500"
20/11월2주차,"33,440",1,"110,000"
20/11월3주차,"37,895",2,"184,000"
20/11월4주차,"24,651",3,"277,500"
20/12월1주차,"28,721",0,0
20/12월2주차,"28,721",0,0
20/12월3주차,"29,249",1,"105,000"
20/12월4주차,"25,366",1,"95,000"
20/12월5주차,"17,677",1,"110,000"
21/01월1주차,"15,752",0,0
21/01월2주차,"5,577",1,"89,000"
21/01월3주차,"7,227",0,0
21/01월4주차,"8,030",0,0
21/02월1주차,"12,265",3,"278,500"
21/02월2주차,"5,214",0,0
21/02월3주차,"11,022",2,"184,000"
21/02월4주차,"15,202",1,"92,000"
21/03월1주차,"13,574",2,"180,500"
21/03월2주차,"8,272",0,0
21/03월3주차,473,0,0
21/03월4주차,0,0,0
21/03월5주차,"3,157",0,0
21/04월2주차,0,0,0
21/04월3주차,0,0,0
21/04월4주차,0,0,0
21/04월5주차,0,0,0
21/05월1주차,0,0,0
21/05월2주차,0,0,0
21/05월3주차,0,0,0
21/05월4주차,0,0,0
21/06월1주차,0,0,0
21/06월2주차,"4,807",0,0
21/06월3주차,"8,558",2,"21,500"
21/06월4주차,"23,606",4,"136,000"
21/06월5주차,"23,606",4,"136,000"
21/07월2주차,"48,400",0,0
21/07월3주차,"37,389",5,"181,500"
21/07월4주차,"29,337",5,"122,500"
21/07월5주차,"21,945",3,"26,000"
21/08월1주차,"42,614",6,"191,300"
21/08월2주차,"62,832",9,"257,000"
21/08월3주차,"70,840",9,"340,000"
