캠페인유형,캠페인,광고그룹,소재,평균노출순위,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환율(%),전환매출액(원),전환당비용(원),광고수익률(%)
쇼핑검색,스토어팜,a,nad-a001-02-000000138286763,4.3,406,14,3.45,400,"5,599",0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000138286764,6.0,267,1,0.38,396,396,0,0.0,0,0,0
쇼핑검색,스토어팜,a,nad-a001-02-000000140009122,11.4,63,1,1.59,385,385,0,0.0,0,0,0
쇼핑검색,스토어팜,z,nad-a001-02-000000137583321,24.3,26,1,3.85,154,154,0,0.0,0,0,0
쇼핑검색,스토어팜,z,nad-a001-02-000000138287049,64.9,7,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,z,nad-a001-02-000000141207076,10.6,22,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,z,nad-a001-02-000000141207077,19.1,9,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,z,nad-a001-02-000000141207078,25.6,63,1,1.59,341,341,0,0.0,0,0,0
쇼핑검색,스토어팜,z,nad-a001-02-000000141207080,21.3,8,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,z,nad-a001-02-000000141207082,22.4,14,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,z,nad-a001-02-000000141207083,32.0,41,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,z,nad-a001-02-000000141207084,22.3,6,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,w,nad-a001-02-000000138287063,13.0,1,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,w,nad-a001-02-000000138287071,6.9,760,2,0.27,424,847,0,0.0,0,0,0
쇼핑검색,스토어팜,w,nad-a001-02-000000138287075,5.8,936,1,0.11,418,418,0,0.0,0,0,0
쇼핑검색,스토어팜,w,nad-a001-02-000000141199728,10.4,184,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,v,nad-a001-02-000000141199733,8.1,106,2,1.89,336,671,0,0.0,0,0,0
쇼핑검색,스토어팜,v,nad-a001-02-000000141207097,37.1,7,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,v,nad-a001-02-000000141207098,38.4,7,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,v,nad-a001-02-000000141207099,38.3,6,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,v,nad-a001-02-000000141207101,6.5,2,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,v,nad-a001-02-000000141207102,3.5,14,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,v,nad-a001-02-000000141207103,38.9,7,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,y,nad-a001-02-000000138287084,16.1,53,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,y,nad-a001-02-000000138287086,15.1,54,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,y,nad-a001-02-000000138287087,18.0,3,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,y,nad-a001-02-000000138287088,20.0,3,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,y,nad-a001-02-000000141206885,19.0,3,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,y,nad-a001-02-000000141206886,16.0,3,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,y,nad-a001-02-000000141206887,13.0,3,1,33.34,154,154,0,0.0,0,0,0
쇼핑검색,스토어팜,y,nad-a001-02-000000141206888,15.0,3,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,y,nad-a001-02-000000141206895,17.0,3,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,y,nad-a001-02-000000141206896,14.0,3,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000138104750,8.0,22,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000138104752,7.5,20,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000138104753,33.8,9,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000138104755,2.7,152,1,0.66,286,286,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000138272061,8.3,69,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000138272062,6.0,46,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000138272063,7.8,19,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000138272065,41.0,2,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000138272067,4.8,5,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000138272068,8.0,95,0,0.0,0,0,0,0.0,0,0,0
쇼핑검색,스토어팜,원본,nad-a001-02-000000138272069,13.6,25,2,8.0,220,440,0,0.0,0,0,0
