주간,광고비,매출건수,매출액
20/03월1주차,0,2.0,"105,000"
20/03월2주차,0,5.0,"406,400"
20/03월3주차,0,2.0,"96,000"
20/03월4주차,0,4.1,"62,979"
20/03월5주차,0,1.9,"73,121"
20/04월1주차,0,0.0,0
20/04월2주차,0,1.0,"15,400"
20/04월3주차,"4,190",3.0,"142,209"
20/04월4주차,"4,380",2.0,"11,728"
20/05월1주차,"3,510",2.0,"263,762"
20/05월2주차,"8,130",2.0,"159,500"
20/05월3주차,"8,350",2.0,"174,000"
20/05월4주차,"9,340",2.0,"146,800"
20/05월5주차,"12,390",2.0,"14,300"
20/06월2주차,"13,651",1.0,"4,400"
20/06월3주차,"7,579",2.0,"26,400"
20/06월4주차,"8,712",2.0,"111,600"
20/06월5주차,"8,558",4.0,"401,214"
20/07월1주차,"9,262",3.0,"278,786"
20/07월2주차,"13,838",1.0,"99,000"
20/07월3주차,"13,266",2.0,"264,000"
20/07월4주차,"30,855",4.0,"181,400"
20/08월1주차,"13,376",5.0,"534,772"
20/08월2주차,"6,853",4.9,"503,333"
20/08월3주차,"43,395",4.2,"389,647"
20/08월4주차,"63,382",7.9,"789,039"
20/08월5주차,"12,001",5.0,"428,109"
20/09월1주차,0,0.0,0
20/09월2주차,"11,121",8.0,"1,449,375"
20/09월3주차,"14,190",4.1,"279,793"
20/09월4주차,"14,531",5.9,"377,807"
20/10월1주차,0,4.0,"418,500"
20/10월2주차,"18,183",6.0,"579,248"
20/10월3주차,"12,177",9.7,"1,097,966"
20/10월4주차,"16,698",4.3,"411,182"
20/11월1주차,"40,656",7.0,"662,104"
20/11월2주차,"29,887",7.0,"1,029,000"
20/11월3주차,"39,248",7.0,"677,761"
20/11월4주차,"34,507",11.0,"1,137,739"
20/11월5주차,0,5.5,"503,258"
20/12월1주차,"25,014",4.0,"253,500"
20/12월2주차,"27,093",2.1,"233,670"
20/12월3주차,"30,371",5.0,"513,417"
20/12월4주차,"21,428",5.9,"486,797"
21/01월1주차,"19,162",6.0,"489,516"
21/01월2주차,"5,412",4.5,"476,308"
21/01월3주차,"7,183",5.5,"658,692"
21/01월4주차,"8,932",5.3,"448,336"
21/01월5주차,"7,975",4.9,"441,744"
21/02월2주차,"9,702",13.8,"1,502,661"
21/02월3주차,"8,965",2.0,"104,004"
21/02월4주차,"14,575",5.0,"478,656"
21/02월5주차,"12,540",7.0,"689,217"
21/03월2주차,"9,603",5.0,"424,283"
21/03월3주차,"4,719",2.1,"193,523"
21/03월4주차,0,5.9,"665,477"
21/03월5주차,"1,133",5.0,"499,500"
21/04월1주차,"2,024",5.0,"342,813"
21/04월2주차,0,4.0,"304,403"
21/04월3주차,0,5.2,"431,080"
21/04월4주차,0,4.7,"427,105"
21/05월1주차,0,1.0,"95,000"
21/05월2주차,0,4.1,"370,145"
21/05월3주차,0,7.0,"786,881"
21/05월4주차,0,1.9,"185,974"
21/05월5주차,0,3.0,"205,335"
21/06월1주차,0,7.0,"962,359"
21/06월2주차,"7,612",8.0,"698,706"
21/06월3주차,"23,320",9.1,"633,942"
21/06월4주차,"27,544",5.0,"488,673"
21/07월1주차,"35,992",3.2,"116,017"
21/07월2주차,"52,723",10.0,"563,500"
21/07월3주차,"34,254",10.0,"547,340"
21/07월4주차,"35,882",15.0,"445,548"
21/08월1주차,"27,401",4.4,"204,166"
21/08월2주차,"63,305",12.6,"380,008"
21/08월3주차,"71,115",22.1,"1,202,952"
21/08월4주차,"63,426",7.9,"293,186"
