주간,노출수,클릭수,광고비,전환수,전환액
19/09월2주차,5001,116,67650,0,0
19/09월3주차,3641,36,19536,0,0
19/09월4주차,6015,64,34716,1,59000
19/09월5주차,3848,115,65109,4,294000
19/10월1주차,152,6,3773,0,0
19/10월2주차,0,0,0,0,0
19/10월3주차,3720,116,68288,1,89000
19/10월4주차,3575,116,69003,0,0
19/11월1주차,5876,107,61677,4,318000
19/11월2주차,8110,113,65494,2,134000
19/11월3주차,2494,33,18414,1,59000
19/11월4주차,0,0,0,0,0
19/12월1주차,0,0,0,0,0
19/12월2주차,0,0,0,0,0
19/12월3주차,0,0,0,0,0
19/12월4주차,1739,15,8943,2,205000
19/12월5주차,2345,12,9339,0,0
20/01월1주차,3681,15,11099,1,62000
20/01월2주차,3019,15,11176,2,183000
20/01월3주차,173,2,1518,0,0
20/01월4주차,0,0,0,0,0
20/02월1주차,0,0,0,0,0
20/02월2주차,0,0,0,0,0
20/02월3주차,0,0,0,0,0
20/02월4주차,0,0,0,0,0
20/03월1주차,0,0,0,0,0
20/03월2주차,0,0,0,0,0
20/03월3주차,0,0,0,0,0
20/03월4주차,0,0,0,0,0
20/03월5주차,0,0,0,0,0
20/04월1주차,0,0,0,0,0
20/04월2주차,0,0,0,0,0
20/04월3주차,737,11,4609,0,0
20/04월4주차,1126,15,4818,0,0
20/05월1주차,1721,11,3861,1,129000
20/05월2주차,2204,22,8943,0,0
20/05월3주차,1408,20,9185,0,0
20/05월4주차,1695,23,10274,0,0
20/05월5주차,1935,27,13629,0,0
20/06월2주차,2569,34,13651,0,0
20/06월3주차,2156,17,7579,1,132000
20/06월4주차,2254,20,8712,0,0
20/06월5주차,1913,20,8558,0,0
20/07월1주차,2074,22,9262,0,0
20/07월2주차,2385,32,13838,0,0
20/07월3주차,2199,31,13266,0,0
20/07월4주차,4359,70,30855,0,0
20/08월1주차,1311,33,13376,1,89000
20/08월2주차,891,22,6853,0,0
20/08월3주차,4983,73,43395,0,0
20/08월4주차,4401,93,63382,0,0
20/08월5주차,1558,23,12001,0,0
20/09월1주차,827,22,5830,0,0
20/09월2주차,1371,38,11418,0,0
20/09월3주차,1683,38,14190,1,89000
20/09월4주차,2251,29,14531,1,89000
20/10월1주차,0,0,0,0,0
20/10월2주차,3720,53,18183,1,83000
20/10월3주차,3407,50,12177,1,222000
20/10월4주차,3518,66,16698,2,205000
20/11월1주차,8436,97,40656,3,287500
20/11월2주차,7114,83,29887,3,273000
20/11월3주차,6960,89,39248,3,294000
20/11월4주차,5137,77,34507,2,194000
20/11월5주차,4853,67,27665,2,207000
20/12월1주차,5663,56,25014,1,70500
20/12월2주차,5728,61,27093,0,0
20/12월3주차,7327,73,30371,2,200000
20/12월4주차,4299,49,21428,1,110000
21/01월1주차,3648,47,19162,0,0
21/01월2주차,1287,11,5412,0,0
21/01월3주차,1089,17,7183,1,89000
21/01월4주차,1267,22,8932,0,0
21/01월5주차,1307,27,7975,1,89000
21/02월2주차,1196,24,9702,2,189500
21/02월3주차,1377,25,9185,2,184000
21/02월4주차,2468,40,14575,0,0
21/02월5주차,2055,32,12540,2,213500
21/03월2주차,1881,24,9603,1,59000
21/03월3주차,942,13,4719,0,0
21/03월4주차,0,0,0,0,0
21/03월5주차,183,4,1133,0,0
21/04월1주차,234,4,2024,0,0
21/04월2주차,0,0,0,0,0
21/04월3주차,0,0,0,0,0
21/04월4주차,0,0,0,0,0
21/05월1주차,0,0,0,0,0
21/05월2주차,0,0,0,0,0
21/05월3주차,0,0,0,0,0
21/05월4주차,0,0,0,0,0
21/05월5주차,0,0,0,0,0
21/06월1주차,0,0,0,0,0
21/06월2주차,1995,22,7535,1,18000
21/06월3주차,9387,86,17325,2,104000
21/06월4주차,10336,85,21318,3,167500
21/07월1주차,16578,122,36542,3,42000
21/07월2주차,17194,162,46640,4,177000
21/07월3주차,16721,123,28017,1,4500
21/07월4주차,13720,131,31262,8,148500
21/08월1주차,9320,86,23551,1,4500
21/08월2주차,20149,194,57915,9,221300
21/08월3주차,21409,218,65417,12,539000
21/08월4주차,24743,230,70840,5,40500
