캠페인유형,캠페인,검색 유형,검색어,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,직접전환수,간접전환수,전환율(%),전환매출액(원),직접전환매출액(원),간접전환매출액(원),전환당비용(원),광고수익률(%)
쇼핑검색,스토어팜,일치,-,"3,522",18,0.52,288,"5,192",2,2,0,11.11,"19,500","19,500",0,"2,596",375.58
쇼핑검색,스토어팜,일치,3D간판,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,A3POP,5,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,A4스탠드,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,A입간판,7,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,DIY간판,40,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED간판,"1,987",9,0.46,499,"4,488",0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED간판조명,3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED광고판,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED네온간판,43,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED돌출간판,266,5,1.88,506,"2,530",0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED문패,32,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED쇼케이스,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED스티커,87,1,1.15,187,187,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED실내간판,49,1,2.05,176,176,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED아크릴간판,348,6,1.73,528,"3,168",0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED에어간판,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED영업중,45,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED오픈,83,1,1.21,407,407,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED오픈간판,22,1,4.55,319,319,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED전광판,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED조명스티커,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED창문간판,9,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED채널,21,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED채널간판,69,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED캠핑문패,165,1,0.61,319,319,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED필름,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,LED현판,114,2,1.76,231,462,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,OPENLED,194,1,0.52,407,407,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,OPEN간판,145,2,1.38,451,902,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,OPEN네온,56,2,3.58,363,726,0,0,0,0.0,0,0,0,0,0
쇼핑검색,스토어팜,일치,POP간판,6,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
