광고그룹 ID,소재 ID,입찰가
grp-a001-02-000000021807523,nad-a001-02-000000147608033,120
grp-a001-02-000000021807523,nad-a001-02-000000147608033,120
grp-a001-02-000000021807523,nad-a001-02-000000147608033,120
grp-a001-02-000000021807523,nad-a001-02-000000147608033,120
grp-a001-02-000000021807523,nad-a001-02-000000147608033,120
grp-a001-02-000000021807523,nad-a001-02-000000147608033,120
grp-a001-02-000000021807497,nad-a001-02-000000147608028,130
grp-a001-02-000000021786478,nad-a001-02-000000147415980,250
grp-a001-02-000000021807501,nad-a001-02-000000147608025,320
grp-a001-02-000000021807511,nad-a001-02-000000147608036,480
grp-a001-02-000000021854519,nad-a001-02-000000147608029,270
grp-a001-02-000000021807496,nad-a001-02-000000147608023,120
grp-a001-02-000000021807488,nad-a001-02-000000147608037,430
grp-a001-02-000000009335164,nad-a001-02-000000147608034,140
grp-a001-02-000000021786478,nad-a001-02-000000145968685,240
grp-a001-02-000000021807519,nad-a001-02-000000147425232,130
grp-a001-02-000000021807496,nad-a001-02-000000147425209,280
grp-a001-02-000000021807519,nad-a001-02-000000147425233,460
grp-a001-02-000000021807488,nad-a001-02-000000147425396,300
grp-a001-02-000000021807501,nad-a001-02-000000147425256,260
grp-a001-02-000000021807481,nad-a001-02-000000141206978,500
grp-a001-02-000000021807551,nad-a001-02-000000141206998,490
grp-a001-02-000000021786478,nad-a001-02-000000141134080,260
grp-a001-02-000000021736136,nad-a001-02-000000141207076,490
grp-a001-02-000000021807484,nad-a001-02-000000141207085,560
grp-a001-02-000000022036028,nad-a001-02-000000141206753,330
grp-a001-02-000000021785283,nad-a001-02-000000141207097,380
grp-a001-02-000000021807550,nad-a001-02-000000141206958,260
grp-a001-02-000000021785285,nad-a001-02-000000141206885,240
grp-a001-02-000000021786478,nad-a001-02-000000141134081,450
grp-a001-02-000000021807488,nad-a001-02-000000141207107,430
grp-a001-02-000000021807484,nad-a001-02-000000141207086,510
grp-a001-02-000000021807551,nad-a001-02-000000141206999,460
grp-a001-02-000000022036032,nad-a001-02-000000141206759,230
grp-a001-02-000000022036028,nad-a001-02-000000141206754,330
grp-a001-02-000000021785283,nad-a001-02-000000141207098,410
grp-a001-02-000000021807488,nad-a001-02-000000141207108,450
grp-a001-02-000000021736136,nad-a001-02-000000141207078,550
grp-a001-02-000000021786478,nad-a001-02-000000141134082,360
grp-a001-02-000000022036013,nad-a001-02-000000141206749,470
grp-a001-02-000000022036032,nad-a001-02-000000141206760,230
grp-a001-02-000000021785283,nad-a001-02-000000141207099,410
grp-a001-02-000000021807551,nad-a001-02-000000141207016,480
grp-a001-02-000000021807519,nad-a001-02-000000147425234,340
grp-a001-02-000000021807497,nad-a001-02-000000147425280,180
grp-a001-02-000000021807501,nad-a001-02-000000147425257,350
grp-a001-02-000000021786478,nad-a001-02-000000141045852,420
grp-a001-02-000000021807488,nad-a001-02-000000141207114,430
grp-a001-02-000000021807551,nad-a001-02-000000141207017,530
grp-a001-02-000000022036028,nad-a001-02-000000141206757,260
grp-a001-02-000000021736136,nad-a001-02-000000141207082,510
grp-a001-02-000000022036032,nad-a001-02-000000141206766,250
grp-a001-02-000000021807484,nad-a001-02-000000141207094,520
grp-a001-02-000000021785283,nad-a001-02-000000141207103,410
grp-a001-02-000000022036028,nad-a001-02-000000140183848,450
grp-a001-02-000000021807485,nad-a001-02-000000140009742,490
grp-a001-02-000000021736136,nad-a001-02-000000141207083,560
grp-a001-02-000000022036032,nad-a001-02-000000140183882,250
grp-a001-02-000000022036028,nad-a001-02-000000140183849,450
grp-a001-02-000000021807485,nad-a001-02-000000140009744,490
grp-a001-02-000000021807511,nad-a001-02-000000141207053,460
grp-a001-02-000000021736136,nad-a001-02-000000141207084,520
grp-a001-02-000000022036013,nad-a001-02-000000140183820,220
grp-a001-02-000000022036028,nad-a001-02-000000140183846,440
grp-a001-02-000000021807485,nad-a001-02-000000140009743,480
grp-a001-02-000000021786478,nad-a001-02-000000139474949,440
grp-a001-02-000000021807549,nad-a001-02-000000140009397,520
grp-a001-02-000000021807511,nad-a001-02-000000141207048,370
grp-a001-02-000000022036032,nad-a001-02-000000140183880,220
grp-a001-02-000000021807485,nad-a001-02-000000140009745,480
grp-a001-02-000000022036028,nad-a001-02-000000140183847,380
grp-a001-02-000000009335164,nad-a001-02-000000140009122,410
grp-a001-02-000000021807549,nad-a001-02-000000140009396,500
grp-a001-02-000000021736136,nad-a001-02-000000141207080,510
grp-a001-02-000000021785283,nad-a001-02-000000141207101,290
grp-a001-02-000000021807552,nad-a001-02-000000138288726,450
grp-a001-02-000000021807554,nad-a001-02-000000138288724,490
grp-a001-02-000000022036028,nad-a001-02-000000140183825,400
grp-a001-02-000000021807488,nad-a001-02-000000138288742,480
grp-a001-02-000000021807484,nad-a001-02-000000138288760,460
grp-a001-02-000000021807549,nad-a001-02-000000138288732,470
grp-a001-02-000000021807501,nad-a001-02-000000138288740,540
grp-a001-02-000000021786478,nad-a001-02-000000138104753,430
grp-a001-02-000000021807501,nad-a001-02-000000147425258,110
grp-a001-02-000000021786478,nad-a001-02-000000141045853,440
grp-a001-02-000000021807497,nad-a001-02-000000147425281,120
grp-a001-02-000000021807496,nad-a001-02-000000147425212,530
grp-a001-02-000000009335164,nad-a001-02-000000147425350,290
grp-a001-02-000000021854519,nad-a001-02-000000147425306,270
grp-a001-02-000000021786478,nad-a001-02-000000138272062,350
grp-a001-02-000000009335164,nad-a001-02-000000147425351,130
grp-a001-02-000000021807511,nad-a001-02-000000147425373,180
grp-a001-02-000000021786478,nad-a001-02-000000138272061,420
grp-a001-02-000000021854519,nad-a001-02-000000147425307,100
grp-a001-02-000000021807519,nad-a001-02-000000147425237,100
grp-a001-02-000000021807523,nad-a001-02-000000147425329,270
grp-a001-02-000000021807497,nad-a001-02-000000147425283,280
grp-a001-02-000000009335164,nad-a001-02-000000147425352,160
grp-a001-02-000000021786478,nad-a001-02-000000138272063,370
grp-a001-02-000000021807501,nad-a001-02-000000147425261,270
grp-a001-02-000000021807511,nad-a001-02-000000147425375,220
grp-a001-02-000000021807488,nad-a001-02-000000138288671,490
grp-a001-02-000000021807511,nad-a001-02-000000138288580,610
grp-a001-02-000000021807481,nad-a001-02-000000138288504,500
grp-a001-02-000000021785285,nad-a001-02-000000138287084,470
grp-a001-02-000000021807484,nad-a001-02-000000138288697,420
grp-a001-02-000000021807555,nad-a001-02-000000138288526,490
grp-a001-02-000000021807497,nad-a001-02-000000138288629,430
grp-a001-02-000000021807501,nad-a001-02-000000138288601,570
grp-a001-02-000000022036028,nad-a001-02-000000140183829,330
grp-a001-02-000000021807511,nad-a001-02-000000138288581,580
grp-a001-02-000000021807484,nad-a001-02-000000138288698,460
grp-a001-02-000000021807546,nad-a001-02-000000138288556,450
grp-a001-02-000000021807481,nad-a001-02-000000138288505,360
grp-a001-02-000000021807497,nad-a001-02-000000138288630,490
grp-a001-02-000000021807496,nad-a001-02-000000138288651,500
grp-a001-02-000000021807555,nad-a001-02-000000138288527,490
grp-a001-02-000000021807501,nad-a001-02-000000138288602,550
grp-a001-02-000000022036028,nad-a001-02-000000140183830,330
grp-a001-02-000000021807488,nad-a001-02-000000138288673,490
grp-a001-02-000000021807511,nad-a001-02-000000138288582,590
grp-a001-02-000000021785285,nad-a001-02-000000138287086,460
grp-a001-02-000000021807481,nad-a001-02-000000138288506,270
grp-a001-02-000000021807496,nad-a001-02-000000138288652,500
grp-a001-02-000000021807555,nad-a001-02-000000138288528,500
grp-a001-02-000000021807484,nad-a001-02-000000138288699,450
grp-a001-02-000000022036028,nad-a001-02-000000140183831,330
grp-a001-02-000000021807501,nad-a001-02-000000138288603,490
grp-a001-02-000000021807481,nad-a001-02-000000141206984,420
grp-a001-02-000000021807554,nad-a001-02-000000141207061,80
grp-a001-02-000000021807511,nad-a001-02-000000141207046,50
grp-a001-02-000000021807523,nad-a001-02-000000141206941,160
grp-a001-02-000000021807501,nad-a001-02-000000141206877,330
grp-a001-02-000000021807550,nad-a001-02-000000141206964,270
grp-a001-02-000000021807555,nad-a001-02-000000141206903,120
grp-a001-02-000000021807511,nad-a001-02-000000141207047,400
grp-a001-02-000000021807550,nad-a001-02-000000141206965,370
grp-a001-02-000000022036032,nad-a001-02-000000140183867,190
grp-a001-02-000000021807523,nad-a001-02-000000147425331,310
grp-a001-02-000000021807488,nad-a001-02-000000147425402,270
grp-a001-02-000000021807511,nad-a001-02-000000138288584,610
grp-a001-02-000000021807488,nad-a001-02-000000138288675,460
grp-a001-02-000000021807481,nad-a001-02-000000138288508,500
grp-a001-02-000000021807546,nad-a001-02-000000138288559,390
grp-a001-02-000000021786478,nad-a001-02-000000138104750,260
grp-a001-02-000000021807496,nad-a001-02-000000138288654,440
grp-a001-02-000000021807555,nad-a001-02-000000138288530,470
grp-a001-02-000000021807497,nad-a001-02-000000138288633,480
grp-a001-02-000000021807501,nad-a001-02-000000140188112,540
grp-a001-02-000000022036028,nad-a001-02-000000140183835,320
grp-a001-02-000000021807511,nad-a001-02-000000147425377,400
grp-a001-02-000000021786478,nad-a001-02-000000138272069,430
grp-a001-02-000000021807523,nad-a001-02-000000147425332,280
grp-a001-02-000000021807488,nad-a001-02-000000147425403,320
grp-a001-02-000000009335164,nad-a001-02-000000147425355,270
grp-a001-02-000000021807497,nad-a001-02-000000147425286,260
grp-a001-02-000000021807488,nad-a001-02-000000138288677,490
grp-a001-02-000000021807481,nad-a001-02-000000138288510,500
grp-a001-02-000000021807546,nad-a001-02-000000138288561,460
grp-a001-02-000000021786478,nad-a001-02-000000138104755,220
grp-a001-02-000000021807555,nad-a001-02-000000138288532,500
