월간,노출수,클릭수,광고비,전환수,전환액,ROAS율,매출총액,광고비중
20.03월,0,0,0,0,0,0.00 %,638500,0.0%
20.04월,2701,32,11220,1,129000,1149.73 %,433100,29.78%
20.05월,8125,97,44099,0,0,0.00 %,631400,0.0%
20.06월,9598,100,42372,1,132000,311.53 %,861400,15.32%
20.07월,11296,167,71610,1,89000,124.28 %,1374400,6.47%
20.08월,12159,223,130746,0,0,0.00 %,2705400,0.0%
20.09월,6132,127,45969,2,178000,387.22 %,3438100,5.17%
20.10월,17917,257,83996,7,797500,949.45 %,3251500,24.52%
20.11월,25963,330,137302,10,968000,705.02 %,4711500,20.54%
20.12월,24108,256,110528,4,380500,344.26 %,2211900,17.2%
21.01월,6772,102,39765,2,178000,447.63 %,2339500,7.6%
21.02월,7096,121,46002,6,587000,1276.03 %,2889400,20.31%
21.03월,3240,45,17479,1,59000,337.55 %,2253400,2.61%
21.04월,0,0,0,0,0,0.00 %,1623400,0.0%
21.05월,0,0,0,0,0,0.00 %,1661900,0.0%
21.06월,28427,237,56463,9,331500,587.11 %,3207500,10.33%
21.07월,64726,563,151085,14,334500,221.40 %,2746300,12.18%
21.08월,112278,1001,322047,41,1243300,386.06 %,3417100,36.38%
21.09월,10071,85,35442,3,83500,235.60 %,349200,23.91%
