상품명,상품번호(스마트스토어),할인가(PC),대분류,중분류,소분류,세분류,대표이미지 URL,카테고리명,추가홍보문구1,추가홍보문구2,제외키워드
미니간판 와이파이간판 와이파이안내판 사무실 회사 카페 명판 예쁜간판 가성비,5854991138,29000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210910_105/1631263525533QxQ2V_JPEG/32399359108881632_1007281653.jpg,가구/인테리어>인테리어소품>디자인문패,,,
미니간판 주소간판 도로명주소 건물번호판 사무실 회사 카페 명판 예쁜간판 가성비,5848822167,29000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210908_116/16310848765062CGIL_JPEG/32220711234876179_439099899.jpg,가구/인테리어>인테리어소품>디자인문패,,,
금지 표찰 흡연 애완동물 금지 아크릴 스카시,5845530434,4000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210907_122/1630989055879CdiIn_PNG/32124944533010378_1340678371.png,가구/인테리어>인테리어소품>디자인문패,,,
미니간판 미니현판 포맥스간판 사무실 회사 카페 명판 주문제작 예쁜간판 가성비,5826101202,29000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210909_278/16311647828305gjHA_JPEG/32300678485869161_710355678.jpg,가구/인테리어>인테리어소품>디자인문패,,,
와이파이 흑색 아크릴 백색 아크릴 스카시,5801101369,20000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210906_105/1630920578883r5Eih_JPEG/32056421415161744_116553323.jpg,가구/인테리어>인테리어소품>디자인문패,,,
네온사인 무드등 칵테일잔 이쁜보조간판 LED 조명 감성 실내인테리어 캠핑 홈바,5797568986,69000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210823_69/16296877670378KYAj_PNG/30823662146943330_1795836014.png,가구/인테리어>인테리어소품>디자인문패,,,
"LED루미사인 부속 모음 ( 연장선,와이어걸이,전원스위치 )",5717750730,3000,가구/인테리어,DIY자재/용품,가구부속품,기타가구부속품,http://shop1.phinf.naver.net/20210714_178/1626232013556qRBqy_JPEG/27367848389648788_122214527.jpg,가구/인테리어>DIY자재/용품>가구부속품>기타가구부속품,,,
LED 주문제작 사이즈 모음,5704221878,160000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210709_220/1625802964592f1trH_JPEG/26938860325874424_1984890136.jpg,가구/인테리어>인테리어소품>디자인문패,,,
LED영업중 오픈사인 조명간판 아크릴채널 캠핑포인트문패 개업선물,5691917350,89000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20200811_163/15971307592531KYIR_JPEG/34491497885670405_1226569840.jpg,가구/인테리어>인테리어소품>디자인문패,,,
베이커리 이쁜보조간판 LED 조명 빵집 빵나오는 시간,5688594406,92000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210702_201/1625214824426oyWsD_JPEG/26350670146612152_1189946244.jpg,가구/인테리어>인테리어소품>디자인문패,,,
24시 영업중 오픈 잘보이는 적색 LED 개업선물 영업재개 코로나 창문간판,5688592256,79000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210702_224/1625213066585hkkfT_JPEG/26348955293779421_1838919377.jpg,가구/인테리어>인테리어소품>디자인문패,,,
영문스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,5687991038,8000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210702_232/1625194834505Ugzw8_JPEG/26330679812094343_1298772847.jpg,가구/인테리어>인테리어소품>디자인문패,,,
정사각형 부식 간판 현판 비조명 조명,5678915479,200000,생활/건강,문구/사무용품,사무용품,명패,http://shop1.phinf.naver.net/20210628_195/1624869274883xhAHJ_JPEG/26005108697425150_206803997.jpg,생활/건강>문구/사무용품>사무용품>명패,,,
OPEN 네온LED 영업중 조명사인 대문자형,5675865002,69000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210504_268/16200872690970jLW7_JPEG/21223111809082375_427801112.jpg,가구/인테리어>인테리어소품>디자인문패,,,
한글스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,5673380283,8000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210625_87/1624604248445dnOzS_JPEG/25740137049510068_889883005.jpg,가구/인테리어>인테리어소품>디자인문패,,,
영문표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,5667517742,6000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210623_262/1624410887916OaxJc_JPEG/25546730575042227_1033312407.jpg,가구/인테리어>인테리어소품>디자인문패,,,
한글표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,5665298879,6000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210622_27/1624322963828EHXK3_JPEG/25458862472956118_525967686.jpg,가구/인테리어>인테리어소품>디자인문패,,,
