광고그룹 이름,광고그룹 ID,소재 ID
p,grp-a001-02-000000021807554,nad-a001-02-000000141207055
r,grp-a001-02-000000021807549,nad-a001-02-000000141207021
t,grp-a001-02-000000021807555,nad-a001-02-000000141206898
u,grp-a001-02-000000022036013,nad-a001-02-000000141206747
x,grp-a001-02-000000022036032,nad-a001-02-000000141206759
p,grp-a001-02-000000021807554,nad-a001-02-000000141207056
q,grp-a001-02-000000021807550,nad-a001-02-000000141206959
r,grp-a001-02-000000021807549,nad-a001-02-000000141207022
t,grp-a001-02-000000021807555,nad-a001-02-000000141206899
u,grp-a001-02-000000022036013,nad-a001-02-000000141206748
m,grp-a001-02-000000021807481,nad-a001-02-000000141206980
p,grp-a001-02-000000021807554,nad-a001-02-000000141207057
q,grp-a001-02-000000021807550,nad-a001-02-000000141206960
r,grp-a001-02-000000021807549,nad-a001-02-000000141207023
s,grp-a001-02-000000021807551,nad-a001-02-000000141207000
t,grp-a001-02-000000021807555,nad-a001-02-000000141206900
t,grp-a001-02-000000021807555,nad-a001-02-000000141206907
u,grp-a001-02-000000022036013,nad-a001-02-000000141206750
x,grp-a001-02-000000022036032,nad-a001-02-000000141206765
y,grp-a001-02-000000021785285,nad-a001-02-000000141206891
z,grp-a001-02-000000021736136,nad-a001-02-000000141207081
za,grp-a001-02-000000022036028,nad-a001-02-000000141206756
j,grp-a001-02-000000021807484,nad-a001-02-000000141207093
m,grp-a001-02-000000021807481,nad-a001-02-000000141206988
p,grp-a001-02-000000021807554,nad-a001-02-000000141207072
q,grp-a001-02-000000021807550,nad-a001-02-000000141206974
r,grp-a001-02-000000021807549,nad-a001-02-000000141207035
x,grp-a001-02-000000022036032,nad-a001-02-000000141206766
m,grp-a001-02-000000021807481,nad-a001-02-000000141206989
o,grp-a001-02-000000021807546,nad-a001-02-000000141206744
p,grp-a001-02-000000021807554,nad-a001-02-000000141207073
q,grp-a001-02-000000021807550,nad-a001-02-000000141206975
r,grp-a001-02-000000021807549,nad-a001-02-000000141207036
t,grp-a001-02-000000021807555,nad-a001-02-000000141206908
u,grp-a001-02-000000022036013,nad-a001-02-000000141206751
r,grp-a001-02-000000021807549,nad-a001-02-000000140009399
v,grp-a001-02-000000021785283,nad-a001-02-000000141207104
j,grp-a001-02-000000021807484,nad-a001-02-000000141207095
l,grp-a001-02-000000021807486,nad-a001-02-000000141206851
m,grp-a001-02-000000021807481,nad-a001-02-000000141206990
o,grp-a001-02-000000021807546,nad-a001-02-000000141206745
p,grp-a001-02-000000021807554,nad-a001-02-000000141207074
q,grp-a001-02-000000021807550,nad-a001-02-000000141206976
s,grp-a001-02-000000021807551,nad-a001-02-000000141207018
t,grp-a001-02-000000021807555,nad-a001-02-000000141206909
v,grp-a001-02-000000021785283,nad-a001-02-000000141207105
y,grp-a001-02-000000021785285,nad-a001-02-000000141206897
j,grp-a001-02-000000021807484,nad-a001-02-000000141207096
l,grp-a001-02-000000021807486,nad-a001-02-000000141206852
m,grp-a001-02-000000021807481,nad-a001-02-000000141206991
o,grp-a001-02-000000021807546,nad-a001-02-000000141206746
p,grp-a001-02-000000021807554,nad-a001-02-000000141207075
q,grp-a001-02-000000021807550,nad-a001-02-000000141206977
r,grp-a001-02-000000021807549,nad-a001-02-000000140009398
s,grp-a001-02-000000021807551,nad-a001-02-000000141207019
t,grp-a001-02-000000021807555,nad-a001-02-000000141206910
z,grp-a001-02-000000021736136,nad-a001-02-000000141207079
l,grp-a001-02-000000021807486,nad-a001-02-000000141206847
m,grp-a001-02-000000021807481,nad-a001-02-000000141206986
o,grp-a001-02-000000021807546,nad-a001-02-000000141206730
p,grp-a001-02-000000021807554,nad-a001-02-000000141207070
q,grp-a001-02-000000021807550,nad-a001-02-000000141206972
s,grp-a001-02-000000021807551,nad-a001-02-000000141207014
t,grp-a001-02-000000021807555,nad-a001-02-000000141206905
u,grp-a001-02-000000022036013,nad-a001-02-000000140183817
v,grp-a001-02-000000021785283,nad-a001-02-000000141207100
