210620,키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,전체조회수,전체클릭수,상품수,상위링크,비율(조회),비율(클릭)
기존지정,배달,6530,38900,20.9,439.4,0.35,1.22,15,높음,45430,460,702533, https://search.shopping.naver.com/gate.nhn?id=82147582137 https://search.shopping.naver.com/gate.nhn?id=8357376852 https://search.shopping.naver.com/gate.nhn?id=82933647323,15,1522
기존지정,아크릴소재,680,2660,7.9,63.3,1.23,2.59,15,높음,3340,71,658896, https://search.shopping.naver.com/gate.nhn?id=83147605356 https://search.shopping.naver.com/gate.nhn?id=82343500042 https://search.shopping.naver.com/gate.nhn?id=83147605469,197,9125
기존지정,테이크아웃,1720,10300,2.9,10.0,0.19,0.11,15,높음,12020,12,311035, https://search.shopping.naver.com/gate.nhn?id=23058769078 https://search.shopping.naver.com/gate.nhn?id=9790266564 https://search.shopping.naver.com/gate.nhn?id=24266365616,25,22376
기존지정,TAKEOUT,2120,6220,0.9,1.0,0.05,0.02,15,높음,8340,1,311035, https://search.shopping.naver.com/gate.nhn?id=23058769078 https://search.shopping.naver.com/gate.nhn?id=9790266564 https://search.shopping.naver.com/gate.nhn?id=24266365616,37,107253
기존지정,사이드LED,< 10,20,0.0,0.7,0.0,2.9,3,높음,25,0,204484, https://search.shopping.naver.com/gate.nhn?id=82677086385 https://search.shopping.naver.com/gate.nhn?id=11392610998 https://search.shopping.naver.com/gate.nhn?id=23334736511,7864,120284
기존지정,네온사인,4980,14400,58.9,391.6,1.27,2.91,15,높음,19380,450,95574, https://search.shopping.naver.com/gate.nhn?id=82625705876 https://search.shopping.naver.com/gate.nhn?id=82265411755 https://search.shopping.naver.com/gate.nhn?id=82674411378,4,211
기존지정,테이크아웃카페,350,2130,3.9,63.8,1.17,3.18,15,높음,2480,67,36750, https://search.shopping.naver.com/gate.nhn?id=80267725701 https://search.shopping.naver.com/gate.nhn?id=82475457343 https://search.shopping.naver.com/gate.nhn?id=80685545650,14,534
기존지정,LED간판조명,100,430,1.4,13.7,1.43,3.37,15,높음,530,15,25048, https://search.shopping.naver.com/gate.nhn?id=82990441053 https://search.shopping.naver.com/gate.nhn?id=82265411755 https://search.shopping.naver.com/gate.nhn?id=82716980698,47,1555
기존지정,배달가능,10,100,0.7,0.3,3.93,0.36,3,높음,110,1,13732, https://search.shopping.naver.com/gate.nhn?id=82648645798 https://search.shopping.naver.com/gate.nhn?id=82535461943 https://search.shopping.naver.com/gate.nhn?id=82676543853,123,6866
기존지정,네온간판,690,3010,14.6,140.5,2.2,5.02,15,높음,3700,155,11337, https://search.shopping.naver.com/gate.nhn?id=82265411755 https://search.shopping.naver.com/gate.nhn?id=82990441053 https://search.shopping.naver.com/gate.nhn?id=82716980698,3,72
기존지정,아크릴간판만들기,30,100,0.7,1.0,2.3,1.03,15,높음,130,1,7021, https://search.shopping.naver.com/gate.nhn?id=8527754670 https://search.shopping.naver.com/gate.nhn?id=9735003723 https://search.shopping.naver.com/gate.nhn?id=11339235984,53,2600
기존지정,네온사인만들기,690,2330,5.9,39.3,0.91,1.83,15,높음,3020,45,4290, https://search.shopping.naver.com/gate.nhn?id=82625705876 https://search.shopping.naver.com/gate.nhn?id=82990441053 https://search.shopping.naver.com/gate.nhn?id=82353164580,1,92
