"검색어 보고서(주1회)(2021.07.02.~2021.07.08.),signcody"
"캠페인유형","캠페인","검색 유형","검색어","노출수","클릭수","클릭률(%)","평균클릭비용(VAT포함,원)","총비용(VAT포함,원)","전환수","직접전환수","간접전환수","전환율(%)","전환매출액(원)","직접전환매출액(원)","간접전환매출액(원)","전환당비용(원)","광고수익률(%)"
"쇼핑검색","스토어팜","일치","-","1,006","5","0.5","198","990","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","DIY간판","19","2","10.53","424","847","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED간판","83","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED글씨간판","21","2","9.53","55","110","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED글자","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED글자간판","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED네온간판","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED문패","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED실내간판","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED아크릴간판","77","2","2.6","451","902","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED영업중","100","4","4","327","1,309","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED오픈","29","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED오픈간판","34","1","2.95","121","121","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED창문간판","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED채널","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED캠핑문패","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED포인트간판","20","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","OPENLED","54","2","3.71","303","605","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","OPEN간판","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","OPEN네온","52","3","5.77","99","297","0","0","0","0","0","0","0","0","0"
