"스토어팜 보고서(매일)(2021.07.08.~2021.07.08.),signcody"
"캠페인유형","캠페인","광고그룹","소재","평균노출순위","노출수","클릭수","클릭률(%)","평균클릭비용(VAT포함,원)","총비용(VAT포함,원)","전환수","전환율(%)","전환매출액(원)","전환당비용(원)","광고수익률(%)"
"쇼핑검색","스토어팜","a","nad-a001-02-000000138286763","7.3","30","1","3.34","319","319","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000138286764","8.9","28","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000140009122","3.7","6","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000141199730","2.4","49","1","2.05","319","319","0","0","0","0","0"
"쇼핑검색","스토어팜","z#6연습#2","nad-a001-02-000000141207078","11.8","4","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","w#4연습#상품소","nad-a001-02-000000138287071","3","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","w#4연습#상품소","nad-a001-02-000000138287075","10","11","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","w#4연습#상품소","nad-a001-02-000000141199728","8.3","45","1","2.23","374","374","0","0","0","0","0"
"쇼핑검색","스토어팜","v#3연습#상품중","nad-a001-02-000000141199733","24","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","y#5연습#상품대","nad-a001-02-000000138287084","10.1","16","1","6.25","308","308","0","0","0","0","0"
"쇼핑검색","스토어팜","y#5연습#상품대","nad-a001-02-000000138287086","9.2","24","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138104755","9.1","8","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272068","6.8","6","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272069","2","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272070","2","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272072","7.8","10","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272073","9","4","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000139474949","5.7","43","1","2.33","407","407","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000139739578","4.7","21","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000139996756","4.8","34","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141045852","11.4","16","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141045853","3","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141134081","7.6","45","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141134082","5.8","32","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141193813","13.2","26","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141193814","10.1","23","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288504","1.2","25","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288505","8.1","9","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288506","2.2","25","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288508","10.5","8","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288510","4.4","10","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288512","5.5","11","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288515","6.4","10","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288517","9.4","9","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288518","5.4","10","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000141199729","4.7","22","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000141206978","6","7","1","14.29","55","55","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000141206982","1","28","1","3.58","55","55","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000141206984","6.6","25","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","j#17상소#캠핑문패","nad-a001-02-000000138288697","13","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","j#17상소#캠핑문패","nad-a001-02-000000138288698","8","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","j#17상소#캠핑문패","nad-a001-02-000000138288699","12","1","0","0","0","0","0","0","0","0","0"
