"스토어팜 보고서(주1회)(2021.07.02.~2021.07.08.),signcody"
"캠페인유형","캠페인","광고그룹","소재","평균노출순위","노출수","클릭수","클릭률(%)","평균클릭비용(VAT포함,원)","총비용(VAT포함,원)","전환수","전환율(%)","전환매출액(원)","전환당비용(원)","광고수익률(%)"
"쇼핑검색","스토어팜","a","nad-a001-02-000000138098432","4.3","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000138286763","6.6","194","7","3.61","413","2,893","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000138286764","7.3","177","4","2.26","303","1,210","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000138286765(삭제)","4.5","136","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000138286770(삭제)","10.8","71","1","1.41","231","231","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000140009122","9","23","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000141199730","2.5","331","11","3.33","244","2,684","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000141206993","5","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z#6연습#2","nad-a001-02-000000138287047(삭제)","4.5","99","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z#6연습#2","nad-a001-02-000000141207076","36","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z#6연습#2","nad-a001-02-000000141207077","33","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z#6연습#2","nad-a001-02-000000141207078","15.9","16","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z#6연습#2","nad-a001-02-000000141207080","27","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z#6연습#2","nad-a001-02-000000141207082","34","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z#6연습#2","nad-a001-02-000000141207083","22.5","6","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z#6연습#2","nad-a001-02-000000141207084","31","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","w#4연습#상품소","nad-a001-02-000000138287063","8.8","16","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","w#4연습#상품소","nad-a001-02-000000138287070","7.9","16","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","w#4연습#상품소","nad-a001-02-000000138287071","5.5","61","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","w#4연습#상품소","nad-a001-02-000000138287075","4.8","466","4","0.86","344","1,375","0","0","0","0","0"
"쇼핑검색","스토어팜","w#4연습#상품소","nad-a001-02-000000141199728","7.9","94","3","3.2","319","957","0","0","0","0","0"
"쇼핑검색","스토어팜","v#3연습#상품중","nad-a001-02-000000141199733","16.5","22","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v#3연습#상품중","nad-a001-02-000000141207098","34","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v#3연습#상품중","nad-a001-02-000000141207099","31","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v#3연습#상품중","nad-a001-02-000000141207101","5","9","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v#3연습#상품중","nad-a001-02-000000141207103","35","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","y#5연습#상품대","nad-a001-02-000000138287084","3.7","321","4","1.25","360","1,441","0","0","0","0","0"
"쇼핑검색","스토어팜","y#5연습#상품대","nad-a001-02-000000138287086","7.3","105","1","0.96","374","374","0","0","0","0","0"
"쇼핑검색","스토어팜","y#5연습#상품대","nad-a001-02-000000140188132","9","4","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138104749(삭제)","3.1","85","2","2.36","352","704","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138104751(삭제)","9","85","1","1.18","154","154","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138104752","8.1","13","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138104755","4.1","45","1","2.23","55","55","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272061","3.5","42","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272062","3","61","1","1.64","264","264","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272063","4.3","48","2","4.17","171","341","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272064(삭제)","5.6","63","1","1.59","99","99","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272068","3.2","31","1","3.23","165","165","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272069","2.2","22","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272070","2","38","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272072","12.6","63","1","1.59","209","209","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000138272073","8.7","25","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000139474949","8.6","149","1","0.68","407","407","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000139739578","6.9","84","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000139996756","5.2","246","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141045852","16.3","52","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141045853","1.9","19","1","5.27","176","176","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141134081","7.4","175","1","0.58","121","121","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141134082","6.4","151","1","0.67","297","297","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141193813","11.6","171","2","1.17","160","319","0","0","0","0","0"
"쇼핑검색","스토어팜","원본","nad-a001-02-000000141193814","7.2","108","2","1.86","99","198","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288504","7.2","87","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288505","9.7","27","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288506","6.8","103","1","0.98","330","330","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288508","6.5","22","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288510","6.6","45","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288512","5","32","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288515","5.3","71","1","1.41","396","396","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288517","9.7","30","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000138288518","7","83","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","m#20상소#LED조명간판 홈포차 와인","nad-a001-02-000000141199729","7.6","88","3","3.41","345","1,034","0","0","0","0","0"
