210624,키워드,검색(PC),검색(폰),평균클릭(PC),평균클릭(폰),평클릭률(PC),평균클릭률(폰),노출광고수,경쟁도,총조회,총클릭,상품수,top3,비율(조회),비율 (클릭)
지정1,아크릴간판,2890,5800,69.9,137,2.64,2.54,15,높음,8690,206,85206,val!아크릴간판 포맥스현판 회사명판 사무실표지판 표찰lnk!25855830012val!샤틴 아크릴간판 현판제작 회사 사무실 카페 부서표찰 미니 소형 작은 실내 안내판 표지판lnk!82064396067val!아크릴현판 간판제작 카페 회사명판 사무실표지판 도어사인 표찰 팻말 실내 미니 사인물lnk!26675612101,9,409
2,캠핑문패,790,4170,1.2,53.7,0.17,1.34,15,높음,4960,54,1599,val!풀컬러 디자인 감성 캠핑 문패 제작 자작나무 미니 간판 입간판 팻말lnk!82921065382val!캠핑 차박 조명 LED 갬성간판 캠핑용 무선 미니 입간판 문패 푯말 팻말lnk!82583098816val!디자인 캠핑문패 우드간판 나무간판 감성캠핑용품 입간판lnk!82683878317,0,28
지정3,돌출간판,1850,3860,17.2,77.5,1.03,2.2,15,높음,5710,94,19976,val!가볍고 부담 없는 아크릴 양면 미니 돌출 간판 예쁜 사각 패션 포인트 간판 부서 명판lnk!82564970551val!LED 아크릴 조명간판/돌출 갈바/스카시/실내lnk!10549184756val!스텐 양면 돌출 간판 골드 금속 카페 사무실 철제 명판 미니 사각 명패 예쁜 포인트간판lnk!82229447729,3,208
지정4,LED간판,2840,8080,44.5,307.8,1.71,4.14,15,높음,10920,352,46871,val!영업중 간판 LED 입구 오픈 네온 사인 OPEN 전광판 부동산간판 식당 개업선물 음식점lnk!82291799095val!LED 아크릴 조명간판/돌출 갈바/스카시/실내lnk!10549184756val!캠핑 차박 조명 LED 갬성간판 캠핑용 무선 미니 입간판 문패 푯말 팻말lnk!82583098816,4,132
5,현판,5390,5370,91,86.8,1.85,1.8,15,높음,10760,177,65919,val!사파이어 미니간판 스텐현판 메탈명판 금속 골드 작은 소형 카페 회사 사무실표찰 표지판제작lnk!82137137001val!아크릴간판 포맥스현판 회사명판 사무실표지판 표찰lnk!25855830012val!포 우드 나무간판 원목표찰 목재 도어사인 실내 소형 대문 현관 레터링 미니현판 안내판제작lnk!82193642872,6,368
6,미니간판,960,3250,17.5,120.5,2.07,4.04,15,높음,4210,138,30035,val!사파이어 미니간판 스텐현판 메탈명판 금속 골드 작은 소형 카페 회사 사무실표찰 표지판제작lnk!82137137001val!포 우드 나무간판 원목표찰 목재 도어사인 실내 소형 대문 현관 레터링 미니현판 안내판제작lnk!82193642872val!아크릴현판 간판제작 카페 회사명판 사무실표지판 도어사인 표찰 팻말 실내 미니 사인물lnk!26675612101,7,216
8,화장실표지판,1290,2020,17.1,69,1.47,3.7,15,높음,3310,86,264613,val!화장실 표지판 안내문 안내판 표찰 표시 문구 팻말lnk!26013803840val!도어사인 화장실표지판 오픈안내판 영업중 표찰 CCTV녹화중 금연표시 관계자외출입금지 문패lnk!82121345920val!실버 남녀공용 - 메탈사인 화장실 표지판 화장실 도어사인 L 90x120mmlnk!25790833975,79,3038
9,간판,13300,30900,239.9,1007,2.02,3.56,15,높음,44200,1246,761023,val!아크릴현판 간판제작 카페 회사명판 사무실표지판 도어사인 표찰 팻말 실내 미니 사인물lnk!26675612101val!포 우드 나무간판 원목표찰 목재 도어사인 실내 소형 대문 현관 레터링 미니현판 안내판제작lnk!82193642872val!사파이어 미니간판 스텐현판 메탈명판 금속 골드 작은 소형 카페 회사 사무실표찰 표지판제작lnk!82137137001,17,609
10,문패,2040,4070,17.8,73,0.91,1.86,15,높음,6110,90,3012898,val!포 우드 나무간판 원목표찰 목재 도어사인 실내 소형 대문 현관 레터링 미니현판 안내판제작lnk!82193642872val!사파이어 미니간판 스텐현판 메탈명판 금속 골드 작은 소형 카페 회사 사무실표찰 표지판제작lnk!82137137001val!아크릴 스카시 셀프 간판 만들기 문패 글씨 글자 로고 숫자 이니셜 레터링 도어사인 제작lnk!8527754670,493,32820
11,도어사인,690,1950,11.4,67.2,1.79,3.7,15,높음,2640,78,108784,val!포 우드 나무간판 원목표찰 목재 도어사인 실내 소형 대문 현관 레터링 미니현판 안내판제작lnk!82193642872val!아크릴 스카시 셀프 간판 만들기 문패 글씨 글자 로고 숫자 이니셜 레터링 도어사인 제작lnk!8527754670val!아크릴현판 간판제작 카페 회사명판 사무실표지판 도어사인 표찰 팻말 실내 미니 사인물lnk!26675612101,41,1366
