"검색어 보고서(주1회)(2021.08.05.~2021.08.11.),signcody"
"캠페인유형","캠페인","검색 유형","검색어","노출수","클릭수","클릭률(%)","평균클릭비용(VAT포함,원)","총비용(VAT포함,원)","전환수","직접전환수","간접전환수","전환율(%)","전환매출액(원)","직접전환매출액(원)","간접전환매출액(원)","전환당비용(원)","광고수익률(%)"
"쇼핑검색","스토어팜","일치","-","2,356","13","0.56","260","3,377","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","A3POP","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","A3스탠드","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","A입간판","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","CCTV녹화중","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","CCTV녹화중스티커","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","CCTV스티커","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","CCTV표지판","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","DIY간판","27","1","3.71","451","451","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED간판","247","1","0.41","440","440","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED광고판","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED글자","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED글자간판","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED돌출간판","185","2","1.09","402","803","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED등제작","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED사인보드","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED아크릴간판","34","1","2.95","407","407","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED영업중","164","2","1.22","391","781","1","1","0","50","72,000","72,000","0","781","9,218.95"
"쇼핑검색","스토어팜","일치","LED오픈","102","2","1.97","374","748","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED오픈간판","46","2","4.35","380","759","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED전광판","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED조명","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED창문간판","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED채널","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED채널간판","25","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED캠핑문패","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED표지판","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","LED현판","34","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","OPENCLOSED","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","OPENLED","198","3","1.52","392","1,177","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","OPEN간판","151","2","1.33","407","814","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","OPEN네온","36","2","5.56","347","693","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","OPEN팻말","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","POP간판","27","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","일치","가게간판","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
