,노출상태,노출상품명,광고그룹 이름,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,광고그룹 ID,상품 ID
0,양호 소재,카페커피컵 영업중간판,o,4.5,950.0,11.0,0.0,3883.0,0.0,on,330.0,nad-a001-02-000000138288566,grp-a001-02-000000021807546,3966923717.0
1,입찰가 변경 인상 370.0>400.0,카페 아크릴 돌출 이쁜 LED간판,m,8.0,655.0,5.0,0.0,1507.0,0.0,on,370.0,nad-a001-02-000000138288515,grp-a001-02-000000021807481,3966923717.0
2,입찰가 변경 인상 310.0>340.0,카페커피컵 오픈네온사인,g,22.6,17.0,1.0,0.0,143.0,0.0,on,310.0,nad-a001-02-000000138288661,grp-a001-02-000000021807496,3966923717.0
3,입찰가 변경 인상 330.0>360.0,카페커피컵 캠핑간판,e,16.1,96.0,0.0,0.0,0.0,0.0,on,330.0,nad-a001-02-000000138288682,grp-a001-02-000000021807488,3966923717.0
4,입찰가 변경 인상 160.0>190.0,카페 커피간판 로고사인,za,13.4,7.0,0.0,0.0,0.0,0.0,on,160.0,nad-a001-02-000000140183842,grp-a001-02-000000022036028,3966923717.0
5,입찰가 변경 인상 310.0>340.0,카페 커피간판 포인트간판,d,20.0,3.0,0.0,0.0,0.0,0.0,on,310.0,nad-a001-02-000000140188113,grp-a001-02-000000021807501,3966923717.0
6,입찰가 변경 인상 250.0>280.0,카페커피컵 LED아크릴간판,i,14.0,1.0,0.0,0.0,0.0,0.0,on,250.0,nad-a001-02-000000138288591,grp-a001-02-000000021807511,3966923717.0
7,소재 점검 필요,카페 커피간판 오픈 개업선물 LED 네온 루미사인,원본,,,,,,,on,160.0,nad-a001-02-000000138104752,grp-a001-02-000000021786478,3966923717.0
8,소재 점검 필요,카페 커피 영업중 오픈간판 개업선물,z,,,,,,,on,160.0,nad-a001-02-000000137752673,grp-a001-02-000000021736136,3966923717.0
9,소재 점검 필요,카페 커피간판 영업중간판,y,,,,,,,on,220.0,nad-a001-02-000000140188132,grp-a001-02-000000021785285,3966923717.0
10,off 소재,카페커피컵 아크릴 네온글씨 글자 LED간판,x,,,,,,,on,100.0,nad-a001-02-000000140183876,grp-a001-02-000000022036032,3966923717.0
11,off 소재,카페 커피 영업중 나래바네온사인 캠핑문패,w,,,,,,,on,160.0,nad-a001-02-000000138098208,grp-a001-02-000000021785266,3966923717.0
12,off 소재,카페 네온사인 포인트 채널 LED아크릴간판,v,,,,,,,on,160.0,nad-a001-02-000000138098226,grp-a001-02-000000021785283,3966923717.0
13,off 소재,카페 커피간판 대문인테리어,u,,,,,,,on,100.0,nad-a001-02-000000140183813,grp-a001-02-000000022036013,3966923717.0
14,off 소재,카페커피컵 대문문패,t,,,,,,,on,250.0,nad-a001-02-000000138288537,grp-a001-02-000000021807555,3966923717.0
15,off 소재,카페 커피간판 아크릴글자,s,,,,,,,on,160.0,nad-a001-02-000000141207010,grp-a001-02-000000021807551,3966923717.0
16,off 소재,카페 커피간판 추가인테리어,r,,,,,,,on,160.0,nad-a001-02-000000141207032,grp-a001-02-000000021807549,3966923717.0
17,off 소재,카페 커피간판 홈간판,q,,,,,,,on,160.0,nad-a001-02-000000141206969,grp-a001-02-000000021807550,3966923717.0
18,off 소재,카페 커피간판 샵인테리어소품,p,,,,,,,on,160.0,nad-a001-02-000000141207067,grp-a001-02-000000021807554,3966923717.0
19,off 소재,카페 커피간판 벽면간판,n,,,,,,,on,160.0,nad-a001-02-000000141206799,grp-a001-02-000000021807552,3966923717.0
20,off 소재,카페 커피간판 술집오픈선물,l,,,,,,,on,160.0,nad-a001-02-000000141206844,grp-a001-02-000000021807486,3966923717.0
21,off 소재,카페 커피간판 벽꾸미기,k,,,,,,,on,160.0,nad-a001-02-000000141206779,grp-a001-02-000000021807485,3966923717.0
22,off 소재,카페 커피간판 포인트간판,j,,,,,,,on,160.0,nad-a001-02-000000141207090,grp-a001-02-000000021807484,3966923717.0
23,off 소재,카페 커피간판 이니셜사인,h,,,,,,,on,160.0,nad-a001-02-000000141206946,grp-a001-02-000000021807523,3966923717.0
24,off 소재,카페 커피간판 안내판,c,,,,,,,on,160.0,nad-a001-02-000000141206865,grp-a001-02-000000021807519,3966923717.0
25,off 소재,카페커피컵 결혼 신혼 개업 창업 선물,b,,,,,,,on,100.0,nad-a001-02-000000138741062,grp-a001-02-000000021854519,3966923717.0
26,off 소재,카페 커피 영업중 창문간판 사이드후광LED,a,,,,,,,on,160.0,nad-a001-02-000000101417703,grp-a001-02-000000009335164,3966923717.0
27,off 소재,-,f,,,,,,,off,220.0,nad-a001-02-000000138288640,grp-a001-02-000000021807497,3966923717.0
28,입찰가 변경 인상 330.0>360.0,영업중 아크릴 돌출 LED간판 현판,x,7.8,720.0,11.0,1.0,3894.0,72000.0,on,330.0,nad-a001-02-000000141199720,grp-a001-02-000000022036032,5057254533.0
29,입찰가 변경 인상 290.0>320.0,OPEN 오픈 포인트 채널 LED아크릴,v,9.5,92.0,3.0,1.0,935.0,89000.0,on,290.0,nad-a001-02-000000141199733,grp-a001-02-000000021785283,5057254533.0
30,양호 소재,OPEN 오픈네온사인,g,3.9,421.0,2.0,0.0,473.0,0.0,on,370.0,nad-a001-02-000000141199721,grp-a001-02-000000021807496,5057254533.0
31,입찰가 변경 인상 330.0>360.0,영업중 카페 팻말 포인트 후광글자 네온제작,e,11.1,57.0,2.0,0.0,715.0,0.0,on,330.0,nad-a001-02-000000141199734,grp-a001-02-000000021807488,5057254533.0
32,양호 소재,오픈 디자인문패 팻말 안내표지판 벽간판 푯말,m,4.2,95.0,1.0,0.0,264.0,0.0,on,240.0,nad-a001-02-000000141199729,grp-a001-02-000000021807481,5057254533.0
33,입찰가 변경 인상 330.0>360.0,OPEN 오픈 영업중 나래바네온사인 캠핑문패,w,10.5,148.0,0.0,0.0,0.0,0.0,on,330.0,nad-a001-02-000000141199728,grp-a001-02-000000021785266,5057254533.0
34,입찰가 변경 인상 290.0>320.0,OPEN 대문문패,t,41.8,4.0,0.0,0.0,0.0,0.0,on,290.0,nad-a001-02-000000141199724,grp-a001-02-000000021807555,5057254533.0
35,입찰가 변경 인상 250.0>280.0,OPEN LED아크릴간판,i,17.0,1.0,0.0,0.0,0.0,0.0,on,250.0,nad-a001-02-000000141199731,grp-a001-02-000000021807511,5057254533.0
36,소재 점검 필요,LED 오픈사인 영업중 조명간판 아크릴채널 캠핑포인트문패 홈바네온 개업선물,원본,,,,,,,on,230.0,nad-a001-02-000000141199957,grp-a001-02-000000021786478,5057254533.0
37,소재 점검 필요,영업중 오픈사인 로고사인,za,,,,,,,on,160.0,nad-a001-02-000000141206752,grp-a001-02-000000022036028,5057254533.0
38,off 소재,LED 오픈사인 영업중 조명간판 아크릴채널 캠핑포인트문패 홈바네온 개업선물,z,,,,,,,on,50.0,nad-a001-02-000000141199625,grp-a001-02-000000021736136,5057254533.0
39,off 소재,OPEN 오픈LED 영업중간판,y,,,,,,,on,240.0,nad-a001-02-000000141199723,grp-a001-02-000000021785285,5057254533.0
40,off 소재,영업중 오픈사인 대문인테리어,u,,,,,,,on,50.0,nad-a001-02-000000141208414,grp-a001-02-000000022036013,5057254533.0
41,off 소재,영업중 오픈사인 아크릴글자,s,,,,,,,on,160.0,nad-a001-02-000000141206997,grp-a001-02-000000021807551,5057254533.0
42,off 소재,영업중 오픈사인 추가인테리어,r,,,,,,,on,160.0,nad-a001-02-000000141207020,grp-a001-02-000000021807549,5057254533.0
43,off 소재,영업중 오픈사인 홈간판,q,,,,,,,on,160.0,nad-a001-02-000000141206957,grp-a001-02-000000021807550,5057254533.0
44,off 소재,영업중 오픈사인 샵인테리어소품,p,,,,,,,on,160.0,nad-a001-02-000000141207054,grp-a001-02-000000021807554,5057254533.0
45,off 소재,오픈LED 아크릴 NEONSIGN 인테리어간판,o,,,,,,,on,240.0,nad-a001-02-000000141199719,grp-a001-02-000000021807546,5057254533.0
46,off 소재,영업중 오픈사인 벽면간판,n,,,,,,,on,160.0,nad-a001-02-000000141206785,grp-a001-02-000000021807552,5057254533.0
47,off 소재,영업중 오픈사인 술집오픈선물,l,,,,,,,on,160.0,nad-a001-02-000000141206831,grp-a001-02-000000021807486,5057254533.0
48,off 소재,영업중 오픈사인 벽꾸미기,k,,,,,,,on,160.0,nad-a001-02-000000141206767,grp-a001-02-000000021807485,5057254533.0
49,off 소재,오픈선물 코로나영업재개 창문장식인테리어,j,,,,,,,on,230.0,nad-a001-02-000000141199732,grp-a001-02-000000021807484,5057254533.0
50,off 소재,오픈영업중 스카시간판,h,,,,,,,on,200.0,nad-a001-02-000000141199727,grp-a001-02-000000021807523,5057254533.0
51,off 소재,오픈 카페 팻말 포인트 후광 글자간판 네온제작,f,,,,,,,on,240.0,nad-a001-02-000000141199725,grp-a001-02-000000021807497,5057254533.0
