노출키워드,연관키워드,검색(PC),검색(폰),평균클릭(PC),평균클릭(폰),평클릭률(PC),평균클릭률(폰),노출광고수,경쟁도,총검색,총클릭
LED영업중,네온사인주문제작,1160,5220,39.5,339.6,3.63,6.92,15,높음,6380.0,379.1
오픈사인,입간판,7570,18800,98.8,340.0,1.39,1.93,15,높음,26370.0,438.8
오픈사인,돌출간판,1410,3460,14.3,64.3,1.07,1.97,15,높음,4870.0,78.6
오픈사인,바퀴,4100,11100,61.5,154.5,1.6,1.5,15,높음,15200.0,216.0
오픈사인,원목액자,1380,5720,31.9,270.2,2.44,5.07,15,높음,7100.0,302.1
오픈사인,철망,3910,10400,86.2,340.3,2.36,3.51,15,높음,14310.0,426.5
오픈사인,주차금지표지판,3360,10600,44.3,330.3,1.41,3.32,15,높음,13960.0,374.6
조명간판,간판업체,980,2960,30.2,159.8,3.26,5.74,15,높음,3940.0,190.0
조명간판,간판제작,1520,2350,41.5,103.1,2.89,4.62,15,높음,3870.0,144.6
조명간판,스카시간판,1020,1870,15.0,49.0,1.54,2.81,15,높음,2890.0,64.0
조명간판,돌출간판,1410,3460,14.3,64.3,1.07,1.97,15,높음,4870.0,78.6
조명간판,미디어파사드,2200,2410,18.4,20.5,0.88,0.92,15,높음,4610.0,38.9
조명간판,실내간판,680,1480,23.2,61.0,3.59,4.33,15,높음,2160.0,84.2
조명간판,입간판,7570,18800,98.8,340.0,1.39,1.93,15,높음,26370.0,438.8
조명간판,부동산간판,790,1420,11.0,30.0,1.45,2.28,15,높음,2210.0,41.0
조명간판,LED간판,1670,6350,25.3,221.0,1.61,3.71,15,높음,8020.0,246.3
조명간판,간판종류,780,1900,14.1,69.6,1.95,3.94,15,높음,2680.0,83.7
조명간판,간판가격,390,1840,6.7,69.3,1.81,4.02,15,높음,2230.0,76.0
조명간판,LED,7310,20300,10.5,74.3,0.16,0.39,15,높음,27610.0,84.8
조명간판,간판만들기,560,2200,17.5,110.4,3.36,5.42,15,높음,2760.0,127.9
조명간판,LED매입등,900,2330,8.6,57.3,1.02,2.62,15,높음,3230.0,65.9
조명간판,카페간판,650,1850,9.7,49.5,1.58,2.89,15,높음,2500.0,59.2
조명간판,LED전등,3810,12300,29.3,183.3,0.81,1.58,15,높음,16110.0,212.6
조명간판,사원증,3960,4360,85.9,112.3,2.31,2.77,15,높음,8320.0,198.2
조명간판,안전표지판,1270,1480,23.6,21.7,1.93,1.55,15,높음,2750.0,45.3
조명간판,서각,770,2170,10.1,70.4,1.42,3.44,15,높음,2940.0,80.5
조명간판,아크릴꽂이,1180,1070,14.1,27.0,1.27,2.69,15,높음,2250.0,41.1
아크릴채널,경관조명,1260,950,30.1,33.5,2.53,3.81,15,높음,2210.0,63.6
아크릴채널,잔넬,1430,1260,15.0,24.0,1.1,2.02,15,높음,2690.0,39.0
아크릴채널,돌출간판,1410,3460,14.3,64.3,1.07,1.97,15,높음,4870.0,78.6
아크릴채널,아크릴쇼케이스,550,1350,7.6,27.0,1.44,2.11,15,높음,1900.0,34.6
아크릴채널,LED형광등,4590,16400,38.9,238.3,0.91,1.56,15,높음,20990.0,277.2
아크릴채널,신주,2970,7940,6.0,53.7,0.22,0.73,15,높음,10910.0,59.7
아크릴채널,야외조명,710,2940,12.9,95.4,1.92,3.44,15,높음,3650.0,108.3
아크릴채널,LED줄조명,700,3180,3.4,52.3,0.51,1.76,15,높음,3880.0,55.7
아크릴채널,간접조명,4430,9250,7.1,142.3,0.17,1.64,15,높음,13680.0,149.4
아크릴채널,아크릴판,7160,20500,92.0,519.5,1.36,2.71,15,높음,27660.0,611.5
아크릴채널,인포데스크,840,1880,16.7,84.5,2.11,4.74,15,높음,2720.0,101.2
아크릴채널,네온조명,600,3070,6.4,104.7,1.15,3.64,15,높음,3670.0,111.1
캠핑포인트문패,캠핑포인트문패,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음,0.0,0.0
개업선물,개업선물,4290,29600,18.7,251.8,0.47,0.91,15,높음,33890.0,270.5
개업선물,개업화분,7070,44300,182.0,2155.0,2.73,5.2,15,높음,51370.0,2337.0
개업선물,현관매트,2470,12200,20.0,147.8,0.86,1.29,15,높음,14670.0,167.8
개업선물,돌답례품,1910,15100,21.1,641.0,1.18,4.53,15,높음,17010.0,662.1
개업선물,화분,17100,96400,165.3,2085.1,1.03,2.34,15,높음,113500.0,2250.4
개업선물,화분배달,2040,4050,41.4,264.8,2.19,6.98,15,높음,6090.0,306.2
개업선물,미니금고,1340,7610,4.3,88.5,0.35,1.26,15,높음,8950.0,92.8
개업선물,현관발매트,750,4630,7.7,117.8,1.11,2.72,15,높음,5380.0,125.5
개업선물,개업식화분,1090,4420,20.5,218.2,2.09,5.3,15,높음,5510.0,238.7
개업선물,대형화분,3410,15900,46.6,315.6,1.45,2.12,15,높음,19310.0,362.2
개업선물,소형금고,2450,13500,29.9,404.1,1.3,3.25,15,높음,15950.0,434.0
개업선물,판촉,3270,4120,73.6,76.0,2.4,1.99,15,높음,7390.0,149.6
개업선물,쿠키답례품,490,3100,16.0,181.6,3.39,6.26,15,높음,3590.0,197.6
개업선물,발매트,6960,46700,30.3,840.3,0.47,1.92,15,높음,53660.0,870.6
개업선물,사은품,2470,3820,37.7,111.3,1.63,3.09,15,높음,6290.0,149.0
개업선물,발판매트,710,3790,12.1,112.6,1.76,3.15,15,높음,4500.0,124.7
개업선물,개업축하화분,1210,5540,28.5,317.6,2.53,6.11,15,높음,6750.0,346.1
개업선물,축하화분,1330,4790,34.9,214.4,2.78,4.81,15,높음,6120.0,249.3
개업선물,화분선물,720,3210,13.9,188.8,2.05,6.32,15,높음,3930.0,202.7
개업선물,간식추천,2110,13300,11.2,119.8,0.56,0.96,15,높음,15410.0,131.0
개업선물,감태김,330,3180,1.7,90.4,0.53,2.96,15,높음,3510.0,92.1
개업선물,바닥매트,3480,18400,41.5,378.0,1.27,2.2,15,높음,21880.0,419.5
개업선물,가정용금고,1240,6580,20.1,160.2,1.74,2.61,15,높음,7820.0,180.3
개업선물,관엽식물,1870,8760,13.5,120.0,0.76,1.49,15,높음,10630.0,133.5
개업선물,천일염,2680,11600,18.5,277.1,0.74,2.54,15,높음,14280.0,295.6
개업선물,현관코일매트,1450,9850,12.4,265.3,0.92,2.89,15,높음,11300.0,277.7
개업선물,매트,9800,68900,46.0,1110.8,0.51,1.74,15,높음,78700.0,1156.8
개업선물,인테리어화분,950,5340,13.9,138.8,1.55,2.78,15,높음,6290.0,152.7
개업선물,수제쿠키,1740,9690,23.4,316.9,1.43,3.47,15,높음,11430.0,340.3
개업선물,가게오픈선물,670,5870,3.1,96.0,0.49,1.76,15,높음,6540.0,99.1
개업선물,나무화분,610,3080,8.2,101.0,1.46,3.5,15,높음,3690.0,109.2
개업선물,도자기화분,980,7960,8.9,222.9,0.95,3.05,15,높음,8940.0,231.8
개업선물,집들이화분,670,4070,5.7,111.4,0.9,2.98,15,높음,4740.0,117.1
개업선물,센스있는집들이선물,1760,14400,4.8,84.9,0.3,0.64,15,높음,16160.0,89.7
개업선물,꽃화분,750,5250,6.9,98.0,0.97,2.04,15,높음,6000.0,104.9
개업선물,화분종류,460,3500,9.1,113.4,2.14,3.48,15,높음,3960.0,122.5
개업선물,화분쇼핑몰,1220,8830,31.8,444.8,2.79,5.42,15,높음,10050.0,476.6
개업선물,거실화분,2450,22200,26.5,659.2,1.15,3.18,15,높음,24650.0,685.7
개업선물,대형토분,500,3700,11.1,160.6,2.32,4.61,15,높음,4200.0,171.7
개업선물,플라스틱화분,2400,8830,17.7,249.9,0.78,3.05,15,높음,11230.0,267.6
개업선물,집들이선물,17500,102200,25.5,314.6,0.16,0.33,15,높음,119700.0,340.1
개업선물,크루시아,1250,8030,2.3,88.3,0.2,1.19,15,높음,9280.0,90.6
개업선물,홍콩야자,1890,17000,3.9,120.7,0.22,0.77,15,높음,18890.0,124.6
개업선물,고무나무,3910,24000,13.1,285.5,0.36,1.29,15,높음,27910.0,298.6
헤어샵,헤어샵,2570,43500,3.5,66.5,0.15,0.17,15,높음,46070.0,70.0
헤어샵,단발히피펌,1370,16600,0.5,46.0,0.05,0.3,15,높음,17970.0,46.5
헤어샵,다운펌,4620,38800,7.5,214.3,0.18,0.6,15,높음,43420.0,221.8
미용실,미용실,31600,756900,15.0,360.3,0.06,0.06,15,높음,788500.0,375.3
미용실,다운펌,4620,38800,7.5,214.3,0.18,0.6,15,높음,43420.0,221.8
영업중,피난안내도,1650,780,16.9,40.3,1.09,5.45,15,높음,2430.0,57.2
영업중,영업중간판,290,1690,3.4,35.7,1.28,2.26,15,높음,1980.0,39.1
영업중,영업시간스티커,400,1360,2.9,34.8,0.76,2.7,15,높음,1760.0,37.7
