,주간,광고비,매출건수,매출액
0,20/02월4주차,0,1.0,"85,000"
1,20/03월1주차,0,1.0,"20,000"
2,20/03월2주차,0,6.0,"417,400"
3,20/03월3주차,0,1.0,"85,000"
4,20/03월4주차,0,5.0,"67,100"
5,20/03월5주차,0,1.0,"69,000"
6,20/04월1주차,0,0,0
7,20/04월2주차,"2,580",1.0,"15,400"
8,20/04월3주차,"2,790",3.0,"142,209"
9,20/04월4주차,"3,200",3.0,"146,491"
10,20/05월1주차,"5,520",2.0,"239,000"
11,20/05월2주차,"7,050",1.0,"49,500"
12,20/05월3주차,"8,250",3.0,"182,800"
13,20/05월4주차,"10,820",1.0,"138,000"
14,20/06월1주차,"13,237",3.0,"18,700"
15,20/06월2주차,"11,275",0,0
16,20/06월3주차,"7,315",3.0,"33,000"
17,20/06월4주차,"8,745",2.0,"224,000"
18,20/06월5주차,"11,077",4.0,"387,214"
19,20/07월1주차,"7,887",2.0,"173,786"
20,20/07월2주차,"14,795",1.0,"99,000"
21,20/07월3주차,"11,847",2.0,"264,000"
22,20/07월4주차,"32,901",4.0,"181,400"
23,20/08월1주차,"11,451",5.0,"534,772"
24,20/08월2주차,"6,050",6.0,"600,057"
25,20/08월3주차,"50,974",4.0,"387,923"
26,20/08월4주차,"59,026",6.9,"694,039"
27,20/08월5주차,"8,228",6.0,"544,109"
28,20/09월2주차,"7,843",3.0,"256,000"
29,20/09월3주차,"10,406",8.0,"1,370,000"
30,20/09월4주차,"14,806",5.1,"457,793"
31,20/09월5주차,"12,617",3.9,"188,807"
32,20/10월1주차,"1,815",5.0,"519,000"
33,20/10월2주차,"17,985",7.0,"680,500"
34,20/10월3주차,"11,462",9.0,"1,011,102"
35,20/10월4주차,"20,944",4.0,"387,802"
36,20/11월1주차,"40,040",6.5,"617,347"
37,20/11월2주차,"29,469",8.6,"1,191,482"
38,20/11월3주차,"43,637",6.9,"734,767"
39,20/11월4주차,"29,150",10.0,"973,500"
40,20/11월5주차,0,5.6,"470,040"
41,20/12월2주차,"26,378",2.0,"129,500"
42,20/12월3주차,"27,346",3.1,"342,560"
43,20/12월4주차,"29,788",6.9,"598,244"
44,20/12월5주차,"20,196",4.9,"438,844"
45,21/01월1주차,"18,557",4.1,"343,751"
46,21/01월2주차,"4,895",5.5,"566,210"
47,21/01월3주차,0,2.5,"347,790"
48,21/01월4주차,"8,349",6.0,"496,639"
49,21/02월1주차,"8,899",8.0,"918,361"
50,21/02월2주차,"8,206",9.0,"864,740"
51,21/02월3주차,"10,406",4.0,"284,000"
52,21/02월4주차,0,4.0,"387,660"
53,21/03월1주차,"12,463",6.0,"600,217"
54,21/03월2주차,"8,899",5.0,"424,283"
55,21/03월3주차,"3,399",3.1,"289,477"
56,21/03월4주차,0,4.9,"569,523"
57,21/03월5주차,"3,157",5.0,"499,757"
58,21/04월1주차,0,3.0,"211,243"
59,21/04월2주차,0,1.0,"97,681"
60,21/04월3주차,0,5.8,"485,604"
61,21/04월4주차,0,3.2,"289,419"
62,21/05월1주차,0,2.0,"179,752"
63,21/05월2주차,0,2.1,"194,620"
64,21/05월3주차,0,5.5,"610,535"
65,21/05월4주차,0,3.9,"301,924"
66,21/05월5주차,0,1.0,"89,385"
67,21/06월2주차,0,8.7,"1,168,780"
68,21/06월3주차,"10,065",9.3,"706,285"
69,21/06월4주차,"24,717",7.8,"672,133"
70,21/06월5주차,"27,995",4.3,"241,482"
71,21/07월1주차,"48,499",10.9,"839,286"
72,21/07월2주차,"48,840",13.0,"734,000"
73,21/07월3주차,0,0,0
74,21/07월4주차,"30,052",10.0,"324,127"
75,21/08월1주차,"35,783",4.4,"204,166"
76,21/08월2주차,"65,318",17.6,"799,508"
77,21/08월3주차,"73,337",17.0,"776,637"
