노출상태,노출상품명,광고그룹 이름,평균노출순위,노출수,클릭수,전환수,전환율,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,광고그룹 ID,상품 ID
입찰가 변경인상 60>90,입간판 메뉴 테이블이젤 칠판스탠드 사인보드 가판대 스탠드 아크릴,원본,23.4,8.0,0.0,0.0,0.0,0.0,0.0,on,60.0,nad-a001-02-000000145968670,grp-a001-02-000000021786478,5774547268.0
신규 소재,게시판 근처맛집 씽크대선반 유리칠판 미니어처 미술전시회 기계식키보드 아크릴선반,a,,,,,,,,on,190.0,,grp-a001-02-000000009335164,5774547268.0
신규 소재,현판제작 야식 그릇정리대 어린이칠판 빈티지소품샵 진열대 레일조명 아크릴거울,b,,,,,,,,on,190.0,,grp-a001-02-000000021854519,5774547268.0
신규 소재,모듈테이블 마포맛집 테이블이젤 유리칠판 LED전광판 바리케이트 거실등 생일토퍼,c,,,,,,,,on,190.0,,grp-a001-02-000000021807519,5774547268.0
신규 소재,간판만들기 여의도맛집 그릇건조대 유리칠판 소품샵 바리케이트 린넨 아크릴,d,,,,,,,,on,190.0,,grp-a001-02-000000021807501,5774547268.0
신규 소재,게시판 메뉴판 두루마리휴지케이스 칠판보드 경광등 진열대 거실등 게시판,e,,,,,,,,on,190.0,,grp-a001-02-000000021807488,5774547268.0
신규 소재,도로표지판 야식 테이블이젤 미니칠판 미니어처 흡연부스 드라이기 네임택,f,,,,,,,,on,190.0,,grp-a001-02-000000021807497,5774547268.0
신규 소재,행거도어 근처맛집 스텐식기건조대 보드판 입간판 간판가격 조명 환갑축하문구,g,,,,,,,,on,190.0,,grp-a001-02-000000021807496,5774547268.0
신규 소재,미니간판 테이블매트 테이블이젤 자석칠판 사인보드 테이블철제다리 테팔스팀다리미 칸막이,h,,,,,,,,on,190.0,,grp-a001-02-000000021807523,5774547268.0
신규 소재,간판종류 근처맛집 스텐식기건조대 입간판 배너 진열장 기계식키보드 아크릴칸막이,i,,,,,,,,on,190.0,,grp-a001-02-000000021807511,5774547268.0
빈 그룹,,j,,,,,,,,,,,grp-a001-02-000000021807484,5774547268.0
빈 그룹,,k,,,,,,,,,,,grp-a001-02-000000021807485,5774547268.0
빈 그룹,,l,,,,,,,,,,,grp-a001-02-000000021807486,5774547268.0
빈 그룹,,m,,,,,,,,,,,grp-a001-02-000000021807481,5774547268.0
빈 그룹,,n,,,,,,,,,,,grp-a001-02-000000021807552,5774547268.0
빈 그룹,,o,,,,,,,,,,,grp-a001-02-000000021807546,5774547268.0
빈 그룹,,p,,,,,,,,,,,grp-a001-02-000000021807554,5774547268.0
빈 그룹,,q,,,,,,,,,,,grp-a001-02-000000021807550,5774547268.0
빈 그룹,,r,,,,,,,,,,,grp-a001-02-000000021807549,5774547268.0
빈 그룹,,s,,,,,,,,,,,grp-a001-02-000000021807551,5774547268.0
빈 그룹,,t,,,,,,,,,,,grp-a001-02-000000021807555,5774547268.0
빈 그룹,,u,,,,,,,,,,,grp-a001-02-000000022036013,5774547268.0
빈 그룹,,v,,,,,,,,,,,grp-a001-02-000000021785283,5774547268.0
빈 그룹,,w,,,,,,,,,,,grp-a001-02-000000021785266,5774547268.0
빈 그룹,,x,,,,,,,,,,,grp-a001-02-000000022036032,5774547268.0
빈 그룹,,y,,,,,,,,,,,grp-a001-02-000000021785285,5774547268.0
빈 그룹,,z,,,,,,,,,,,grp-a001-02-000000021736136,5774547268.0
빈 그룹,,za,,,,,,,,,,,grp-a001-02-000000022036028,5774547268.0
입찰가 변경인상 60>90,입간판 메뉴 칠판 자석 사인보드 화이트 블루 그린 핑크 가게인테리어,원본,20.0,1.0,0.0,0.0,0.0,0.0,0.0,on,60.0,nad-a001-02-000000145968678,grp-a001-02-000000021786478,5774547016.0
신규 소재,티코스터 테이블매트 학교책상 문구점 미니간판 마우스패드 분무기 그린 만화 카페인테리어비용,a,,,,,,,,on,190.0,,grp-a001-02-000000009335164,5774547016.0
신규 소재,현판 야식 아이방꾸미기 문구사이트 미니간판 마우스패드 분무기 그린 한컴오피스 카페인테리어,b,,,,,,,,on,190.0,,grp-a001-02-000000021854519,5774547016.0
신규 소재,행거도어 배달앱 카페입간판 A4용지 LED간판 마우스패드 분무기 그린 핑크 엔틱인테리어,c,,,,,,,,on,190.0,,grp-a001-02-000000021807519,5774547016.0
신규 소재,티코스터 마포맛집 자석칠판 고무자석 주차금지표지판 화이트 분무기 그린 핑크 대구인테리어,d,,,,,,,,on,190.0,,grp-a001-02-000000021807501,5774547016.0
신규 소재,철제입간판 주변맛집 아이방꾸미기 전기선 LED간판 화이트 분무기 그린 한컴오피스 호텔인테리어,e,,,,,,,,on,190.0,,grp-a001-02-000000021807488,5774547016.0
신규 소재,게시판 마포맛집 자석칠판 자석 써치라이트 화이트 분무기 그린 한컴오피스 홈스타일링,f,,,,,,,,on,190.0,,grp-a001-02-000000021807497,5774547016.0
신규 소재,X배너 배달음식 독서실책상 문구류 입간판 화이트 카카오택시 그린 웹툰 천장인테리어,g,,,,,,,,on,190.0,,grp-a001-02-000000021807496,5774547016.0
신규 소재,돌출간판 배달 보드판 샤프 배너제작 화이트 블루 그린 애착인형 엔틱인테리어,h,,,,,,,,on,190.0,,grp-a001-02-000000021807523,5774547016.0
신규 소재,티코스터 주변맛집 독서실책상 자석고리 미니어처 마우스패드 블루 그린 핑크 실내인테리어,i,,,,,,,,on,190.0,,grp-a001-02-000000021807511,5774547016.0
빈 그룹,,j,,,,,,,,,,,grp-a001-02-000000021807484,5774547016.0
빈 그룹,,k,,,,,,,,,,,grp-a001-02-000000021807485,5774547016.0
빈 그룹,,l,,,,,,,,,,,grp-a001-02-000000021807486,5774547016.0
빈 그룹,,m,,,,,,,,,,,grp-a001-02-000000021807481,5774547016.0
빈 그룹,,n,,,,,,,,,,,grp-a001-02-000000021807552,5774547016.0
빈 그룹,,o,,,,,,,,,,,grp-a001-02-000000021807546,5774547016.0
빈 그룹,,p,,,,,,,,,,,grp-a001-02-000000021807554,5774547016.0
빈 그룹,,q,,,,,,,,,,,grp-a001-02-000000021807550,5774547016.0
빈 그룹,,r,,,,,,,,,,,grp-a001-02-000000021807549,5774547016.0
빈 그룹,,s,,,,,,,,,,,grp-a001-02-000000021807551,5774547016.0
빈 그룹,,t,,,,,,,,,,,grp-a001-02-000000021807555,5774547016.0
빈 그룹,,u,,,,,,,,,,,grp-a001-02-000000022036013,5774547016.0
빈 그룹,,v,,,,,,,,,,,grp-a001-02-000000021785283,5774547016.0
빈 그룹,,w,,,,,,,,,,,grp-a001-02-000000021785266,5774547016.0
빈 그룹,,x,,,,,,,,,,,grp-a001-02-000000022036032,5774547016.0
빈 그룹,,y,,,,,,,,,,,grp-a001-02-000000021785285,5774547016.0
빈 그룹,,z,,,,,,,,,,,grp-a001-02-000000021736136,5774547016.0
빈 그룹,,za,,,,,,,,,,,grp-a001-02-000000022036028,5774547016.0
소재 점검 필요,입간판 네온LED보드 마커 칠판 사인보드 문패 가게인테리어,원본,,,,,,,,on,50.0,nad-a001-02-000000145968676,grp-a001-02-000000021786478,5774546049.0
빈 그룹,,a,,,,,,,,,,,grp-a001-02-000000009335164,5774546049.0
빈 그룹,,b,,,,,,,,,,,grp-a001-02-000000021854519,5774546049.0
빈 그룹,,c,,,,,,,,,,,grp-a001-02-000000021807519,5774546049.0
빈 그룹,,d,,,,,,,,,,,grp-a001-02-000000021807501,5774546049.0
빈 그룹,,e,,,,,,,,,,,grp-a001-02-000000021807488,5774546049.0
빈 그룹,,f,,,,,,,,,,,grp-a001-02-000000021807497,5774546049.0
빈 그룹,,g,,,,,,,,,,,grp-a001-02-000000021807496,5774546049.0
빈 그룹,,h,,,,,,,,,,,grp-a001-02-000000021807523,5774546049.0
빈 그룹,,i,,,,,,,,,,,grp-a001-02-000000021807511,5774546049.0
빈 그룹,,j,,,,,,,,,,,grp-a001-02-000000021807484,5774546049.0
빈 그룹,,k,,,,,,,,,,,grp-a001-02-000000021807485,5774546049.0
빈 그룹,,l,,,,,,,,,,,grp-a001-02-000000021807486,5774546049.0
빈 그룹,,m,,,,,,,,,,,grp-a001-02-000000021807481,5774546049.0
빈 그룹,,n,,,,,,,,,,,grp-a001-02-000000021807552,5774546049.0
빈 그룹,,o,,,,,,,,,,,grp-a001-02-000000021807546,5774546049.0
빈 그룹,,p,,,,,,,,,,,grp-a001-02-000000021807554,5774546049.0
빈 그룹,,q,,,,,,,,,,,grp-a001-02-000000021807550,5774546049.0
빈 그룹,,r,,,,,,,,,,,grp-a001-02-000000021807549,5774546049.0
빈 그룹,,s,,,,,,,,,,,grp-a001-02-000000021807551,5774546049.0
빈 그룹,,t,,,,,,,,,,,grp-a001-02-000000021807555,5774546049.0
빈 그룹,,u,,,,,,,,,,,grp-a001-02-000000022036013,5774546049.0
빈 그룹,,v,,,,,,,,,,,grp-a001-02-000000021785283,5774546049.0
빈 그룹,,w,,,,,,,,,,,grp-a001-02-000000021785266,5774546049.0
빈 그룹,,x,,,,,,,,,,,grp-a001-02-000000022036032,5774546049.0
빈 그룹,,y,,,,,,,,,,,grp-a001-02-000000021785285,5774546049.0
빈 그룹,,z,,,,,,,,,,,grp-a001-02-000000021736136,5774546049.0
빈 그룹,,za,,,,,,,,,,,grp-a001-02-000000022036028,5774546049.0
불량 소재,주차중 차량 흡착 부착 케이스,원본,3.0,3.0,0.0,0.0,0.0,0.0,0.0,on,50.0,nad-a001-02-000000145968674,grp-a001-02-000000021786478,5774545746.0
빈 그룹,,a,,,,,,,,,,,grp-a001-02-000000009335164,5774545746.0
빈 그룹,,b,,,,,,,,,,,grp-a001-02-000000021854519,5774545746.0
빈 그룹,,c,,,,,,,,,,,grp-a001-02-000000021807519,5774545746.0
빈 그룹,,d,,,,,,,,,,,grp-a001-02-000000021807501,5774545746.0
빈 그룹,,e,,,,,,,,,,,grp-a001-02-000000021807488,5774545746.0
빈 그룹,,f,,,,,,,,,,,grp-a001-02-000000021807497,5774545746.0
빈 그룹,,g,,,,,,,,,,,grp-a001-02-000000021807496,5774545746.0
빈 그룹,,h,,,,,,,,,,,grp-a001-02-000000021807523,5774545746.0
