"스토어팜 보고서(주1회)(2021.08.10.~2021.08.16.),signcody"
"캠페인유형","캠페인","광고그룹","소재","평균노출순위","노출수","클릭수","클릭률(%)","평균클릭비용(VAT포함,원)","총비용(VAT포함,원)","전환수","전환율(%)","전환매출액(원)","전환당비용(원)","광고수익률(%)"
"쇼핑검색","스토어팜","a","nad-a001-02-000000138286763","3.6","556","14","2.52","417","5,841","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000138286764","6.1","277","2","0.73","418","836","0","0","0","0","0"
"쇼핑검색","스토어팜","a","nad-a001-02-000000140009122","6.3","37","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000137583321","11.7","3","1","33.34","154","154","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000138287049","65","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207076","12.1","14","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207077","18","9","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207078","24.6","60","2","3.34","363","726","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207080","23.8","6","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207082","31.6","14","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207083","34.2","28","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","z","nad-a001-02-000000141207084","30.4","7","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","w","nad-a001-02-000000138287063","7","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","w","nad-a001-02-000000138287071","7.3","669","2","0.3","391","781","0","0","0","0","0"
"쇼핑검색","스토어팜","w","nad-a001-02-000000138287075","6.7","731","3","0.42","315","946","0","0","0","0","0"
"쇼핑검색","스토어팜","w","nad-a001-02-000000141199728","11.6","167","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141199733","9","90","3","3.34","330","990","1","33.33","89,000","990","8,989.9"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141207097","36.3","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141207098","37.3","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","v","nad-a001-02-000000141207099","38.7","3","0","0","0","0","0","0","0","0","0"
