Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,광고그룹 ID,소재 ID,노출상품명,제한상태,제한사유,상품 ID
0.0,0.0,0.0,0.0,grp-a001-02-000000021807519,nad-a001-02-000000141206863,맥주 주점 안내판,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",5229304479.0
1.0,1.0,1.0,1.0,grp-a001-02-000000021807523,nad-a001-02-000000141206944,맥주 주점 이니셜사인,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",5229304479.0
2.0,2.0,2.0,2.0,grp-a001-02-000000021807484,nad-a001-02-000000138288703,맥주주점 코로나영업재개 창문장식인테리어,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",5229304479.0
3.0,3.0,3.0,3.0,grp-a001-02-000000021807485,nad-a001-02-000000141206777,맥주 주점 벽꾸미기,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",5229304479.0
4.0,4.0,4.0,4.0,grp-a001-02-000000021807486,nad-a001-02-000000141206842,맥주 주점 술집오픈선물,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",5229304479.0
5.0,5.0,5.0,5.0,grp-a001-02-000000021807552,nad-a001-02-000000141206797,맥주 주점 벽면간판,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",5229304479.0
6.0,6.0,6.0,6.0,grp-a001-02-000000021807554,nad-a001-02-000000141207065,맥주 주점 샵인테리어소품,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",5229304479.0
7.0,7.0,7.0,7.0,grp-a001-02-000000021807550,nad-a001-02-000000141206967,맥주 주점 홈간판,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",5229304479.0
8.0,8.0,8.0,8.0,grp-a001-02-000000021807549,nad-a001-02-000000141207030,맥주 주점 추가인테리어,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",5229304479.0
9.0,9.0,9.0,9.0,grp-a001-02-000000021807551,nad-a001-02-000000141207007,맥주 주점 아크릴글자,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",5229304479.0
10.0,10.0,10.0,10.0,grp-a001-02-000000021807519,nad-a001-02-000000141206865,카페 커피간판 안내판,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",3966923717.0
11.0,11.0,11.0,11.0,grp-a001-02-000000021807523,nad-a001-02-000000141206946,카페 커피간판 이니셜사인,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",3966923717.0
12.0,12.0,12.0,12.0,grp-a001-02-000000021807485,nad-a001-02-000000141206779,카페 커피간판 벽꾸미기,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",3966923717.0
13.0,13.0,13.0,13.0,grp-a001-02-000000021807486,nad-a001-02-000000141206844,카페 커피간판 술집오픈선물,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",3966923717.0
14.0,14.0,14.0,14.0,grp-a001-02-000000021807552,nad-a001-02-000000141206799,카페 커피간판 벽면간판,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",3966923717.0
15.0,15.0,15.0,15.0,grp-a001-02-000000021807554,nad-a001-02-000000141207067,카페 커피간판 샵인테리어소품,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",3966923717.0
16.0,16.0,16.0,16.0,grp-a001-02-000000021807550,nad-a001-02-000000141206969,카페 커피간판 홈간판,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",3966923717.0
17.0,17.0,17.0,17.0,grp-a001-02-000000021807549,nad-a001-02-000000141207032,카페 커피간판 추가인테리어,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",3966923717.0
18.0,18.0,18.0,18.0,grp-a001-02-000000021807551,nad-a001-02-000000141207010,카페 커피간판 아크릴글자,소재 노출제한,"해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",3966923717.0
19.0,19.0,19.0,19.0,grp-a001-02-000000021786478,nad-a001-02-000000145968675,입간판 야외가판대 주차금지 미끄럼주의,소재 노출제한,"합성 또는 4분할 초과, 기타 보정/효과 등을 넣거나 왜곡된 이미지는 사용할 수 없으며, 분할된 이미지는 서로 달라야 하며 분할된 비율이 동일해야 합니다.
해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",5774543963.0
20.0,20.0,20.0,20.0,grp-a001-02-000000021786478,nad-a001-02-000000145968681,현수막 업다운배너,소재 노출제한,이미지 내 텍스트가 기재된 경우 등록이 불가합니다.,5742869601.0
21.0,21.0,21.0,21.0,grp-a001-02-000000021786478,nad-a001-02-000000145968682,현수막 실내외 물통배너 맞춤제작,소재 노출제한,이미지 내 텍스트가 기재된 경우 등록이 불가합니다.,5742862281.0
22.0,22.0,22.0,22.0,grp-a001-02-000000021786478,nad-a001-02-000000145968686,알루미늄자 안전스틸 공업용 컷팅 손가락보호 미끄럼방지 커팅용 스틸엣지,소재 노출제한,이미지 내 텍스트가 기재된 경우 등록이 불가합니다.,606844220.0
23.0,23.0,23.0,23.0,grp-a001-02-000000021786478,nad-a001-02-000000146352972,시트제거칼 스크래퍼 찐드기제거 시공용 유리전용 바닥껌제거,소재 노출제한,"상품과 직접적인 관련이 없는 수식어로 무의미하게 반복나열되거나 동일 또는 유사한 문구를 반복하여 기재할 수 없습니다. (ex. 관련없는 상품의 용도, 상품 유형의 중복 나열, 동일 문구 반복 등)",451552487.0
24.0,24.0,24.0,24.0,grp-a001-02-000000021786478,nad-a001-02-000000145968676,입간판 네온LED보드 마커 칠판 사인보드 문패 가게인테리어,소재 노출제한,"등록하신 '상품'과 '카테고리'가 매칭되지 않습니다. 상품과 연관성 있는 카테고리로 수정해 주세요
이미지 내 텍스트가 기재된 경우 등록이 불가합니다.
해상도가 낮거나 이미지 테두리, 공백이 확인되는 이미지 등 품질이 떨어지는 경우 또는 관련 법령, 선량한 풍속, 기타 사회질서에 반하거나 반하는 행위를 지칭하는 이미지는 광고 진행이 불가합니다.",5774546049.0
25.0,25.0,25.0,25.0,grp-a001-02-000000021786478,nad-a001-02-000000144208119,현수막 퀵배너,대기 소재,-,5742869602.0
26.0,26.0,26.0,26.0,grp-a001-02-000000021786478,nad-a001-02-000000144208109,담슈 담배 재떨이 공공시설,대기 소재,-,5742869573.0
27.0,27.0,27.0,27.0,grp-a001-02-000000021786478,nad-a001-02-000000143673316,현대칼라시트지 HS 일반용 1롤,대기 소재,-,5731013039.0
28.0,28.0,28.0,28.0,grp-a001-02-000000021786478,nad-a001-02-000000143673314,현대엠보시트지 122폭 1롤,대기 소재,-,5731013036.0
29.0,29.0,29.0,29.0,grp-a001-02-000000021786478,nad-a001-02-000000143673312,현대엠보시트지 100폭 1롤,대기 소재,-,5731013035.0
30.0,30.0,30.0,30.0,grp-a001-02-000000021786478,nad-a001-02-000000143673317,현대메탈시트지 1롤,대기 소재,-,5731013033.0
31.0,31.0,31.0,31.0,grp-a001-02-000000021786478,nad-a001-02-000000145968684,칼라피스(백색/적색/청색/흑색),대기 소재,-,5731013015.0
32.0,32.0,32.0,32.0,grp-a001-02-000000009335164,nad-a001-02-000000141206992,베이커리 네온사인,대기 소재,-,5688594406.0
33.0,33.0,33.0,33.0,grp-a001-02-000000021854519,nad-a001-02-000000141206926,베이커리 개업선물,대기 소재,-,5688594406.0
34.0,34.0,34.0,34.0,grp-a001-02-000000021807519,nad-a001-02-000000141206854,베이커리 안내판,대기 소재,-,5688594406.0
35.0,35.0,35.0,35.0,grp-a001-02-000000021807501,nad-a001-02-000000141206874,베이커리 제작,대기 소재,-,5688594406.0
36.0,36.0,36.0,36.0,grp-a001-02-000000021807488,nad-a001-02-000000141207106,베이커리 DIY,대기 소재,-,5688594406.0
