광고그룹 ID,상품 ID,소재 입찰가,노출상품명
grp-a001-02-000000009335164,5774547268.0,190.0,게시판 근처맛집 씽크대선반 유리칠판 미니어처 미술전시회 기계식키보드 아크릴선반
grp-a001-02-000000021854519,5774547268.0,190.0,현판제작 야식 그릇정리대 어린이칠판 빈티지소품샵 진열대 레일조명 아크릴거울
grp-a001-02-000000021807519,5774547268.0,190.0,모듈테이블 마포맛집 테이블이젤 유리칠판 LED전광판 바리케이트 거실등 생일토퍼
grp-a001-02-000000021807501,5774547268.0,190.0,간판만들기 여의도맛집 그릇건조대 유리칠판 소품샵 바리케이트 린넨 아크릴
grp-a001-02-000000021807488,5774547268.0,190.0,게시판 메뉴판 두루마리휴지케이스 칠판보드 경광등 진열대 거실등 게시판
grp-a001-02-000000021807497,5774547268.0,190.0,도로표지판 야식 테이블이젤 미니칠판 미니어처 흡연부스 드라이기 네임택
grp-a001-02-000000021807496,5774547268.0,190.0,행거도어 근처맛집 스텐식기건조대 보드판 입간판 간판가격 조명 환갑축하문구
grp-a001-02-000000021807523,5774547268.0,190.0,미니간판 테이블매트 테이블이젤 자석칠판 사인보드 테이블철제다리 테팔스팀다리미 칸막이
grp-a001-02-000000021807511,5774547268.0,190.0,간판종류 근처맛집 스텐식기건조대 입간판 배너 진열장 기계식키보드 아크릴칸막이
grp-a001-02-000000009335164,5774547016.0,190.0,티코스터 테이블매트 학교책상 문구점 미니간판 마우스패드 분무기 그린 만화 카페인테리어비용
grp-a001-02-000000021854519,5774547016.0,190.0,현판 야식 아이방꾸미기 문구사이트 미니간판 마우스패드 분무기 그린 한컴오피스 카페인테리어
grp-a001-02-000000021807519,5774547016.0,190.0,행거도어 배달앱 카페입간판 A4용지 LED간판 마우스패드 분무기 그린 핑크 엔틱인테리어
grp-a001-02-000000021807501,5774547016.0,190.0,티코스터 마포맛집 자석칠판 고무자석 주차금지표지판 화이트 분무기 그린 핑크 대구인테리어
grp-a001-02-000000021807488,5774547016.0,190.0,철제입간판 주변맛집 아이방꾸미기 전기선 LED간판 화이트 분무기 그린 한컴오피스 호텔인테리어
grp-a001-02-000000021807497,5774547016.0,190.0,게시판 마포맛집 자석칠판 자석 써치라이트 화이트 분무기 그린 한컴오피스 홈스타일링
grp-a001-02-000000021807496,5774547016.0,190.0,X배너 배달음식 독서실책상 문구류 입간판 화이트 카카오택시 그린 웹툰 천장인테리어
grp-a001-02-000000021807523,5774547016.0,190.0,돌출간판 배달 보드판 샤프 배너제작 화이트 블루 그린 애착인형 엔틱인테리어
grp-a001-02-000000021807511,5774547016.0,190.0,티코스터 주변맛집 독서실책상 자석고리 미니어처 마우스패드 블루 그린 핑크 실내인테리어
grp-a001-02-000000009335164,5742885085.0,190.0,스티커표찰 욕실타일 성별 실내간판
grp-a001-02-000000021854519,5742885085.0,190.0,스티커표찰 화장실타일 성별 입간판
grp-a001-02-000000021807519,5742885085.0,190.0,스티커표찰 UBR욕실 성별 회사명판
grp-a001-02-000000021807501,5742885085.0,190.0,스티커표찰 포세린타일 성별 미용실간판
grp-a001-02-000000021807488,5742885085.0,190.0,스티커표찰 포세린타일 성별 아크릴게시판
grp-a001-02-000000021807497,5742885085.0,190.0,스티커표찰 24평아파트인테리어 성별 아크릴간판
grp-a001-02-000000021807496,5742885085.0,190.0,스티커표찰 24평아파트인테리어 성별 아크릴스탠드
grp-a001-02-000000021807523,5742885085.0,190.0,스티커표찰 욕실인테리어 성별 미니간판
grp-a001-02-000000021807511,5742885085.0,190.0,스티커표찰 욕실 성별 아크릴꽂이
grp-a001-02-000000009335164,5742885083.0,190.0,스티커표찰 영업시간스티커 관계자외출입금지 레터링스티커 센서등
grp-a001-02-000000021854519,5742885083.0,190.0,스티커표찰 CLOSED 알파벳스티커 냉난방중 센서등
grp-a001-02-000000021807519,5742885083.0,190.0,스티커표찰 OHP필름인쇄 알파벳스티커 냉난방중 적외선카메라
grp-a001-02-000000021807501,5742885083.0,190.0,스티커표찰 아크릴인쇄 표지판 레터링스티커 절전
grp-a001-02-000000021807488,5742885083.0,190.0,스티커표찰 영업시간스티커 표지판 냉난방중 적외선카메라
grp-a001-02-000000021807497,5742885083.0,190.0,스티커표찰 OHP필름인쇄 관계자외출입금지 냉난방중 적외선카메라
grp-a001-02-000000021807496,5742885083.0,190.0,스티커표찰 아크릴인쇄 영업시간 냉난방중 센서등
grp-a001-02-000000021807523,5742885083.0,190.0,스티커표찰 아크릴인쇄 알파벳스티커 레터링스티커 센서등
grp-a001-02-000000021807511,5742885083.0,190.0,스티커표찰 영업시간스티커 알파벳스티커 냉난방중 적외선카메라
grp-a001-02-000000009335164,5742885081.0,190.0,스티커표찰 명패 표지판 도로표지판 관리책임자 디지털도어락
