광고그룹 ID,소재 ID,소재 입찰가
grp-a001-02-000000021786478,nad-a001-02-000000145968670,90
grp-a001-02-000000021786478,nad-a001-02-000000145968678,90
grp-a001-02-000000021786478,nad-a001-02-000000144208086,130
grp-a001-02-000000021786478,nad-a001-02-000000144208085,190
grp-a001-02-000000021786478,nad-a001-02-000000144208082,170
grp-a001-02-000000021786478,nad-a001-02-000000144208090,170
grp-a001-02-000000021786478,nad-a001-02-000000144208091,170
grp-a001-02-000000021786478,nad-a001-02-000000144208106,90
grp-a001-02-000000021786478,nad-a001-02-000000144208107,90
grp-a001-02-000000021786478,nad-a001-02-000000144208101,90
grp-a001-02-000000021786478,nad-a001-02-000000144208118,170
grp-a001-02-000000021786478,nad-a001-02-000000144208108,130
grp-a001-02-000000021786478,nad-a001-02-000000144208099,130
grp-a001-02-000000021786478,nad-a001-02-000000144208097,170
grp-a001-02-000000021786478,nad-a001-02-000000144208124,170
grp-a001-02-000000021786478,nad-a001-02-000000144208122,130
grp-a001-02-000000021786478,nad-a001-02-000000143673318,90
grp-a001-02-000000021786478,nad-a001-02-000000143806799,40
grp-a001-02-000000021786478,nad-a001-02-000000145968685,90
grp-a001-02-000000021786478,nad-a001-02-000000141193813,370
grp-a001-02-000000021807481,nad-a001-02-000000141206978,360
grp-a001-02-000000021736136,nad-a001-02-000000141207076,370
grp-a001-02-000000021807551,nad-a001-02-000000141206998,320
grp-a001-02-000000021785283,nad-a001-02-000000141207097,200
grp-a001-02-000000022036032,nad-a001-02-000000141206758,170
grp-a001-02-000000021807484,nad-a001-02-000000141207085,280
grp-a001-02-000000021807550,nad-a001-02-000000141206958,210
grp-a001-02-000000021786478,nad-a001-02-000000141134081,370
grp-a001-02-000000021807488,nad-a001-02-000000141207107,380
grp-a001-02-000000021736136,nad-a001-02-000000141207077,370
grp-a001-02-000000021807551,nad-a001-02-000000141206999,300
grp-a001-02-000000021785283,nad-a001-02-000000141207098,200
grp-a001-02-000000021807484,nad-a001-02-000000141207086,260
grp-a001-02-000000021807488,nad-a001-02-000000141207108,360
grp-a001-02-000000021736136,nad-a001-02-000000141207078,390
grp-a001-02-000000021786478,nad-a001-02-000000141134082,270
grp-a001-02-000000021785283,nad-a001-02-000000141207099,200
grp-a001-02-000000021807551,nad-a001-02-000000141207016,370
grp-a001-02-000000021786478,nad-a001-02-000000141193814,370
grp-a001-02-000000021786478,nad-a001-02-000000141045852,330
grp-a001-02-000000021807488,nad-a001-02-000000141207114,330
grp-a001-02-000000021736136,nad-a001-02-000000141207082,350
grp-a001-02-000000021785283,nad-a001-02-000000141207103,200
grp-a001-02-000000022036028,nad-a001-02-000000141206757,170
grp-a001-02-000000022036032,nad-a001-02-000000141206766,170
grp-a001-02-000000021807551,nad-a001-02-000000141207017,320
grp-a001-02-000000021807484,nad-a001-02-000000141207094,290
grp-a001-02-000000022036028,nad-a001-02-000000140183848,360
grp-a001-02-000000021807485,nad-a001-02-000000140009742,400
grp-a001-02-000000021807488,nad-a001-02-000000141207115,350
grp-a001-02-000000021736136,nad-a001-02-000000141207083,390
grp-a001-02-000000022036032,nad-a001-02-000000140183882,110
grp-a001-02-000000022036028,nad-a001-02-000000140183849,360
grp-a001-02-000000021807485,nad-a001-02-000000140009744,400
grp-a001-02-000000021786478,nad-a001-02-000000139739578,270
grp-a001-02-000000021807488,nad-a001-02-000000141207116,370
grp-a001-02-000000021807511,nad-a001-02-000000141207053,320
grp-a001-02-000000021736136,nad-a001-02-000000141207084,330
grp-a001-02-000000022036028,nad-a001-02-000000140183846,360
grp-a001-02-000000021807485,nad-a001-02-000000140009743,400
grp-a001-02-000000021786478,nad-a001-02-000000139474949,350
grp-a001-02-000000021807488,nad-a001-02-000000141207111,370
grp-a001-02-000000021807549,nad-a001-02-000000140009397,360
grp-a001-02-000000021807484,nad-a001-02-000000141207091,200
grp-a001-02-000000022036032,nad-a001-02-000000140183880,110
grp-a001-02-000000021807511,nad-a001-02-000000141207048,280
grp-a001-02-000000022036028,nad-a001-02-000000140183847,320
grp-a001-02-000000021807523,nad-a001-02-000000140009857,340
grp-a001-02-000000021807485,nad-a001-02-000000140009745,400
grp-a001-02-000000021807488,nad-a001-02-000000141207112,370
grp-a001-02-000000009335164,nad-a001-02-000000140009122,320
grp-a001-02-000000021807549,nad-a001-02-000000140009396,360
grp-a001-02-000000021736136,nad-a001-02-000000141207080,350
grp-a001-02-000000021785283,nad-a001-02-000000141207101,200
grp-a001-02-000000021807484,nad-a001-02-000000141207092,200
grp-a001-02-000000021807554,nad-a001-02-000000138288724,400
grp-a001-02-000000021807552,nad-a001-02-000000138288726,360
grp-a001-02-000000022036028,nad-a001-02-000000140183825,310
grp-a001-02-000000021807485,nad-a001-02-000000138288757,400
grp-a001-02-000000021807484,nad-a001-02-000000138288760,370
grp-a001-02-000000021807519,nad-a001-02-000000138288736,140
grp-a001-02-000000021807488,nad-a001-02-000000138288742,360
grp-a001-02-000000021807549,nad-a001-02-000000138288732,340
