광고그룹 ID,소재 ID,소재 상태
grp-a001-02-000000021785266,nad-a001-02-000000141206951,off
grp-a001-02-000000022036013,nad-a001-02-000000141206747,off
grp-a001-02-000000021807555,nad-a001-02-000000141206898,off
grp-a001-02-000000021807549,nad-a001-02-000000141207021,off
grp-a001-02-000000021807554,nad-a001-02-000000141207055,off
grp-a001-02-000000021807546,nad-a001-02-000000141206722,off
grp-a001-02-000000021807552,nad-a001-02-000000141206786,off
grp-a001-02-000000021807486,nad-a001-02-000000141206832,off
grp-a001-02-000000021807485,nad-a001-02-000000141206768,off
grp-a001-02-000000021807511,nad-a001-02-000000141207037,off
grp-a001-02-000000021807523,nad-a001-02-000000141206935,off
grp-a001-02-000000021807496,nad-a001-02-000000141206809,off
grp-a001-02-000000021807497,nad-a001-02-000000141206911,off
grp-a001-02-000000021807488,nad-a001-02-000000141207106,off
grp-a001-02-000000021807501,nad-a001-02-000000141206874,off
grp-a001-02-000000021807519,nad-a001-02-000000141206854,off
grp-a001-02-000000021854519,nad-a001-02-000000141206926,off
grp-a001-02-000000009335164,nad-a001-02-000000141206992,off
grp-a001-02-000000021785266,nad-a001-02-000000141206952,off
grp-a001-02-000000022036013,nad-a001-02-000000141206748,off
grp-a001-02-000000021807555,nad-a001-02-000000141206899,off
grp-a001-02-000000021807549,nad-a001-02-000000141207022,off
grp-a001-02-000000021807550,nad-a001-02-000000141206959,off
grp-a001-02-000000021807554,nad-a001-02-000000141207056,off
grp-a001-02-000000021807546,nad-a001-02-000000141206724,off
grp-a001-02-000000021807552,nad-a001-02-000000141206787,off
grp-a001-02-000000021807486,nad-a001-02-000000141206833,off
grp-a001-02-000000021807485,nad-a001-02-000000141206769,off
grp-a001-02-000000021807511,nad-a001-02-000000141207038,off
grp-a001-02-000000021807523,nad-a001-02-000000141206936,off
grp-a001-02-000000021807496,nad-a001-02-000000141206815,off
grp-a001-02-000000021807497,nad-a001-02-000000141206912,off
grp-a001-02-000000021807501,nad-a001-02-000000141206875,off
grp-a001-02-000000021807519,nad-a001-02-000000141206855,off
grp-a001-02-000000021854519,nad-a001-02-000000141206927,off
grp-a001-02-000000009335164,nad-a001-02-000000141206993,off
grp-a001-02-000000021807555,nad-a001-02-000000141206900,off
grp-a001-02-000000021807551,nad-a001-02-000000141207000,off
grp-a001-02-000000021807549,nad-a001-02-000000141207023,off
grp-a001-02-000000021807550,nad-a001-02-000000141206960,off
grp-a001-02-000000021807554,nad-a001-02-000000141207057,off
grp-a001-02-000000021807546,nad-a001-02-000000141206725,off
grp-a001-02-000000021807552,nad-a001-02-000000141206788,off
grp-a001-02-000000021807481,nad-a001-02-000000141206980,off
grp-a001-02-000000021807486,nad-a001-02-000000141206834,off
grp-a001-02-000000021807485,nad-a001-02-000000141206770,off
grp-a001-02-000000021807511,nad-a001-02-000000141207039,off
grp-a001-02-000000021807523,nad-a001-02-000000141206937,off
grp-a001-02-000000021807496,nad-a001-02-000000141206817,off
grp-a001-02-000000021807497,nad-a001-02-000000141206913,off
grp-a001-02-000000021807501,nad-a001-02-000000141206876,off
grp-a001-02-000000021807519,nad-a001-02-000000141206856,off
grp-a001-02-000000021854519,nad-a001-02-000000141206928,off
grp-a001-02-000000009335164,nad-a001-02-000000141206994,off
grp-a001-02-000000021807549,nad-a001-02-000000141207035,off
grp-a001-02-000000021807550,nad-a001-02-000000141206974,off
grp-a001-02-000000021807554,nad-a001-02-000000141207072,off
grp-a001-02-000000021807546,nad-a001-02-000000141206743,off
grp-a001-02-000000021807552,nad-a001-02-000000141206805,off
grp-a001-02-000000021807481,nad-a001-02-000000141206988,off
grp-a001-02-000000021807486,nad-a001-02-000000141206849,off
grp-a001-02-000000021807485,nad-a001-02-000000141206783,off
grp-a001-02-000000021807484,nad-a001-02-000000141207093,off
grp-a001-02-000000021807511,nad-a001-02-000000141207050,off
grp-a001-02-000000021807523,nad-a001-02-000000141206949,off
grp-a001-02-000000021807496,nad-a001-02-000000141206827,off
grp-a001-02-000000021807497,nad-a001-02-000000141206922,off
grp-a001-02-000000021807488,nad-a001-02-000000141207113,off
grp-a001-02-000000021807501,nad-a001-02-000000141206881,off
grp-a001-02-000000021807519,nad-a001-02-000000141206870,off
grp-a001-02-000000021854519,nad-a001-02-000000141206931,off
grp-a001-02-000000009335164,nad-a001-02-000000141206995,off
grp-a001-02-000000022036013,nad-a001-02-000000141206751,off
grp-a001-02-000000021807555,nad-a001-02-000000141206908,off
grp-a001-02-000000021807549,nad-a001-02-000000141207036,off
grp-a001-02-000000021807550,nad-a001-02-000000141206975,off
grp-a001-02-000000021807554,nad-a001-02-000000141207073,off
grp-a001-02-000000021807546,nad-a001-02-000000141206744,off
grp-a001-02-000000021807552,nad-a001-02-000000141206806,off
grp-a001-02-000000021807481,nad-a001-02-000000141206989,off
grp-a001-02-000000021807486,nad-a001-02-000000141206850,off
grp-a001-02-000000021807485,nad-a001-02-000000141206784,off
grp-a001-02-000000021807511,nad-a001-02-000000141207051,off
grp-a001-02-000000021807523,nad-a001-02-000000141206950,off
grp-a001-02-000000021807496,nad-a001-02-000000141206828,off
grp-a001-02-000000021807497,nad-a001-02-000000141206923,off
grp-a001-02-000000021807501,nad-a001-02-000000141206882,off
grp-a001-02-000000021807519,nad-a001-02-000000141206871,off
grp-a001-02-000000021854519,nad-a001-02-000000141206932,off
grp-a001-02-000000009335164,nad-a001-02-000000141206996,off
grp-a001-02-000000021807555,nad-a001-02-000000141206909,off
grp-a001-02-000000021807551,nad-a001-02-000000141207018,off
grp-a001-02-000000021807549,nad-a001-02-000000140009399,off
grp-a001-02-000000021807550,nad-a001-02-000000141206976,off
grp-a001-02-000000021807554,nad-a001-02-000000141207074,off
grp-a001-02-000000021807546,nad-a001-02-000000141206745,off
grp-a001-02-000000021807552,nad-a001-02-000000141206807,off
grp-a001-02-000000021807481,nad-a001-02-000000141206990,off
grp-a001-02-000000021807486,nad-a001-02-000000141206851,off
grp-a001-02-000000021807484,nad-a001-02-000000141207095,off
grp-a001-02-000000021807511,nad-a001-02-000000141207052,off
grp-a001-02-000000021807523,nad-a001-02-000000140009854,off
grp-a001-02-000000021807496,nad-a001-02-000000141206829,off
grp-a001-02-000000021807497,nad-a001-02-000000141206924,off
grp-a001-02-000000021807501,nad-a001-02-000000141206883,off
grp-a001-02-000000021807519,nad-a001-02-000000141206872,off
grp-a001-02-000000021854519,nad-a001-02-000000141206933,off
grp-a001-02-000000009335164,nad-a001-02-000000140009123,off
grp-a001-02-000000022036032,nad-a001-02-000000140183883,off
grp-a001-02-000000021807555,nad-a001-02-000000141206910,off
grp-a001-02-000000021807551,nad-a001-02-000000141207019,off
grp-a001-02-000000021807549,nad-a001-02-000000140009398,off
grp-a001-02-000000021807550,nad-a001-02-000000141206977,off
grp-a001-02-000000021807554,nad-a001-02-000000141207075,off
grp-a001-02-000000021807546,nad-a001-02-000000141206746,off
grp-a001-02-000000021807552,nad-a001-02-000000141206808,off
grp-a001-02-000000021807481,nad-a001-02-000000141206991,off
grp-a001-02-000000021807486,nad-a001-02-000000141206852,off
grp-a001-02-000000021807484,nad-a001-02-000000141207096,off
grp-a001-02-000000021807523,nad-a001-02-000000140009855,off
grp-a001-02-000000021807496,nad-a001-02-000000141206830,off
grp-a001-02-000000021807497,nad-a001-02-000000141206925,off
grp-a001-02-000000021807501,nad-a001-02-000000141206884,off
grp-a001-02-000000021807519,nad-a001-02-000000141206873,off
grp-a001-02-000000021854519,nad-a001-02-000000141206934,off
grp-a001-02-000000009335164,nad-a001-02-000000140009124,off
grp-a001-02-000000021785266,nad-a001-02-000000140009136,off
grp-a001-02-000000021785283,nad-a001-02-000000141207100,off
grp-a001-02-000000022036013,nad-a001-02-000000140183817,off
grp-a001-02-000000021807555,nad-a001-02-000000141206905,off
grp-a001-02-000000021807551,nad-a001-02-000000141207014,off
grp-a001-02-000000021807550,nad-a001-02-000000141206972,off
grp-a001-02-000000021807554,nad-a001-02-000000141207070,off
grp-a001-02-000000021807546,nad-a001-02-000000141206730,off
grp-a001-02-000000021807552,nad-a001-02-000000141206802,off
grp-a001-02-000000021807481,nad-a001-02-000000141206986,off
grp-a001-02-000000021807486,nad-a001-02-000000141206847,off
grp-a001-02-000000021807523,nad-a001-02-000000140009856,off
grp-a001-02-000000021807496,nad-a001-02-000000141206825,off
grp-a001-02-000000021807497,nad-a001-02-000000141206920,off
grp-a001-02-000000021807501,nad-a001-02-000000141206879,off
grp-a001-02-000000021807519,nad-a001-02-000000141206868,off
grp-a001-02-000000021854519,nad-a001-02-000000141206929,off
grp-a001-02-000000009335164,nad-a001-02-000000140009121,off
grp-a001-02-000000021785285,nad-a001-02-000000141206889,off
grp-a001-02-000000022036032,nad-a001-02-000000140183881,off
grp-a001-02-000000021785266,nad-a001-02-000000140009137,off
grp-a001-02-000000022036013,nad-a001-02-000000140183818,off
grp-a001-02-000000021807555,nad-a001-02-000000141206906,off
grp-a001-02-000000021807551,nad-a001-02-000000141207015,off
grp-a001-02-000000021807550,nad-a001-02-000000141206973,off
grp-a001-02-000000021807554,nad-a001-02-000000141207071,off
grp-a001-02-000000021807546,nad-a001-02-000000141206739,off
grp-a001-02-000000021807552,nad-a001-02-000000141206804,off
grp-a001-02-000000021807481,nad-a001-02-000000141206987,off
grp-a001-02-000000021807486,nad-a001-02-000000141206848,off
grp-a001-02-000000021807511,nad-a001-02-000000141207049,off
grp-a001-02-000000021807496,nad-a001-02-000000141206826,off
grp-a001-02-000000021807497,nad-a001-02-000000141206921,off
grp-a001-02-000000021807501,nad-a001-02-000000141206880,off
grp-a001-02-000000021807519,nad-a001-02-000000141206869,off
grp-a001-02-000000021854519,nad-a001-02-000000141206930,off
grp-a001-02-000000021736136,nad-a001-02-000000137583320,off
grp-a001-02-000000021785285,nad-a001-02-000000138098229,off
grp-a001-02-000000022036032,nad-a001-02-000000140183859,off
grp-a001-02-000000021785266,nad-a001-02-000000138098205,off
grp-a001-02-000000021785283,nad-a001-02-000000138098223,off
grp-a001-02-000000022036013,nad-a001-02-000000140183796,off
grp-a001-02-000000021807555,nad-a001-02-000000141206901,off
grp-a001-02-000000021807551,nad-a001-02-000000138288728,off
grp-a001-02-000000021807550,nad-a001-02-000000138288730,off
grp-a001-02-000000021807546,nad-a001-02-000000141206726,off
grp-a001-02-000000021807481,nad-a001-02-000000141206981,off
grp-a001-02-000000021807486,nad-a001-02-000000141206835,off
grp-a001-02-000000021807511,nad-a001-02-000000141207040,off
grp-a001-02-000000021807523,nad-a001-02-000000138288734,off
